director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,movie_facebook_likes,duration,facenumber_in_poster,country,title_year,budget,gross,Action,Adventure,Sci-Fi,Romance,Animation,Mystery,Fantasy,Family,Comedy,Crime,Drama,Horror,Biography,Thriller,Financial_Label
342,128,469,596,598,360,794,78,41000,100,3,31,2015,120000000,56114221,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Flop
72,62,141,12000,308,2000,60,884,52000,114,0,31,2015,110000000,155181732,1,1,0,0,0,0,0,0,0,0,1,0,0,1,Hit
535,124,267,14000,704,5000,537,1000,27000,119,0,31,2015,110000000,129995817,0,1,1,0,0,0,0,0,0,0,0,0,0,1,Average
523,0,323,13000,217,801,80,372,153000,151,1,31,2015,108000000,228430993,0,1,1,0,0,0,0,0,0,0,1,0,0,0,BlockBaster
294,456,186,20000,121,548,597,394,24000,111,4,31,2015,150000000,34964818,0,1,0,0,0,0,1,1,0,0,0,0,0,0,Flop
188,19,401,1000,232,897,199,848,37000,114,1,31,2015,105000000,28772222,1,0,0,0,0,0,0,0,0,1,0,0,0,1,Flop
548,2000,90,26000,76,911,265,571,27000,122,0,31,2015,100000000,24985612,1,1,0,0,0,0,0,0,0,0,1,0,1,1,Flop
596,20,163,144,739,42,85,36,33000,88,0,31,2015,99000000,130174897,0,1,0,0,1,0,0,1,1,0,0,0,0,0,Hit
360,0,183,2000,206,520,488,502,56000,105,1,31,2015,95000000,201148159,0,0,0,1,0,0,1,1,0,0,1,0,0,0,BlockBaster
654,12,42,35000,379,1000,369,1000,0,92,0,31,2015,90000000,85884815,0,1,0,0,1,0,1,1,1,0,0,0,0,0,Flop
96,0,392,22000,8,11000,410,1000,39000,106,0,31,2015,88000000,78747585,1,0,1,0,1,0,0,0,1,0,0,0,0,0,Flop
342,128,469,596,598,360,794,78,41000,100,3,31,2015,120000000,56114221,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Flop
210,266,455,12000,8,11000,261,859,16000,89,0,31,2015,80000000,169692572,0,0,0,0,1,0,1,1,1,0,0,0,0,0,BlockBaster
75,42,491,14000,372,788,494,612,21000,106,0,31,2015,90000000,27356090,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Flop
403,54,215,12000,324,11000,505,6000,31000,108,1,9,2015,81200000,1339152,0,1,0,0,1,0,1,1,0,0,1,0,0,0,Flop
229,0,185,15000,237,509,149,104,43000,116,2,31,2015,75000000,45434443,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Flop
371,22,456,7000,367,4000,772,1000,70000,91,0,31,2015,74000000,336029560,1,0,1,0,1,0,0,1,1,0,0,0,0,0,BlockBaster
483,5,470,870,85,861,226,726,16000,92,0,31,2015,74000000,162495848,0,1,0,0,1,0,1,1,1,0,0,0,0,0,BlockBaster
425,0,90,26000,54,326,99,301,11000,133,1,31,2015,70000000,7097125,1,0,0,0,0,1,0,0,0,1,1,0,0,1,Flop
576,3000,296,14000,533,11000,741,3000,30000,125,0,31,2015,68000000,81257500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Average
220,43,499,10000,11,806,287,523,23000,105,0,31,2015,50100000,53846915,0,0,0,1,0,0,0,0,1,1,1,0,0,0,Average
51,175,341,963,487,580,807,221,40000,121,0,30,2015,55000000,43247140,0,1,0,0,0,0,0,0,0,0,1,0,1,1,Flop
131,10,446,21,576,18,775,7,0,103,3,5,2015,65000000,72413,1,1,0,0,0,0,0,0,0,0,1,0,0,0,Flop
505,16000,109,46000,342,1000,859,1000,114000,187,1,31,2015,44000000,54116191,0,0,0,0,0,1,0,0,0,1,1,0,0,1,Average
660,47,276,988,448,960,700,240,24000,132,0,31,2015,61000000,81687587,1,0,1,0,0,0,0,0,0,0,0,0,0,1,Hit
149,737,222,34000,615,22000,98,14000,24000,124,3,31,2015,60000000,56443482,0,0,0,0,0,0,0,0,1,0,1,0,1,0,Flop
147,192,248,40000,561,2000,824,280,12000,107,2,30,2015,60000000,7605668,1,0,0,1,0,1,0,0,1,0,0,0,0,0,Flop
525,11,377,2000,226,1000,451,543,35000,103,4,31,2015,58000000,80021740,0,1,0,0,0,0,1,1,1,0,0,1,0,0,Hit
565,108,248,40000,74,19000,3,3000,44000,123,7,31,2015,53000000,62563543,0,0,0,0,0,0,0,0,0,1,1,0,1,0,Average
572,51,497,8000,449,2000,512,322,13000,96,2,31,2015,50000000,150315155,0,0,0,0,0,0,0,1,1,0,0,0,0,0,BlockBaster
270,174,296,14000,167,988,113,655,15000,114,2,31,2015,50000000,26442251,1,0,0,0,0,0,0,0,0,1,1,0,0,1,Flop
454,662,186,20000,668,2000,408,502,67000,120,0,31,2015,49000000,31569268,1,0,1,0,0,0,0,0,0,1,1,0,0,1,Flop
130,79,478,27000,261,254,553,194,18000,137,3,6,2015,50000000,1206135,0,0,0,0,0,0,0,0,0,1,1,0,0,1,Flop
480,118,114,11000,682,1000,177,287,11000,110,2,31,2015,40000000,5773519,0,0,1,0,0,0,0,0,0,0,1,1,0,1,Flop
563,456,218,1000,463,935,120,716,101000,129,0,31,2015,40000000,166147885,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BlockBaster
190,164,497,8000,29,2000,166,723,14000,107,2,31,2015,40000000,90353764,0,0,0,0,0,0,0,0,1,1,0,0,0,0,BlockBaster
449,278,409,22000,48,11000,666,808,54000,121,2,31,2015,35000000,75274748,0,0,0,0,0,0,0,0,1,0,1,0,0,0,BlockBaster
603,14000,477,15000,482,535,29,423,55000,142,0,31,2015,40000000,72306065,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Super Hit
480,118,114,11000,682,1000,177,287,11000,110,2,31,2015,40000000,5773519,0,0,1,0,0,0,0,0,0,0,1,1,0,1,Flop
504,180,401,1000,482,535,348,87,0,115,0,31,2015,40000000,10640645,1,0,0,0,0,1,0,0,0,1,1,0,0,1,Flop
558,50,460,218,53,133,640,72,21000,159,1,16,2015,18026148,6498000,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Flop
31,99,110,598,184,557,233,377,8000,94,1,31,2015,30000000,71038190,1,0,0,0,0,0,0,0,1,1,0,0,0,0,BlockBaster
556,0,459,13000,583,597,294,531,70000,133,1,31,2015,35000000,109712885,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BlockBaster
85,488,152,15000,96,14000,86,13000,11000,105,1,31,2015,37000000,20991497,0,0,0,1,0,0,0,0,1,0,1,0,0,0,Flop
667,25,347,461,466,79,468,51,12000,105,0,13,2015,36000000,2126511,1,0,0,0,0,0,0,0,0,0,1,0,1,0,Flop
346,0,27,492,593,392,414,213,25000,129,1,19,2015,35000000,110008260,0,0,0,1,0,0,0,0,1,0,0,0,0,0,BlockBaster
493,15,499,10000,230,979,11,745,23000,123,0,30,2015,35000000,34531832,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Flop
38,98,232,472,608,328,552,253,0,87,2,31,2015,35000000,34507079,1,0,0,0,0,0,0,0,1,1,0,0,0,0,Flop
537,0,254,23000,677,22,331,6,24000,123,0,31,2015,35000000,10137502,0,1,0,0,0,0,0,0,0,0,1,0,1,1,Flop
359,31,481,1000,387,249,539,141,0,91,2,31,2015,35000000,10214013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Flop
216,88,467,989,505,970,307,954,23000,128,0,31,2015,34000000,37432299,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Average
301,0,90,26000,556,12000,84,816,28000,99,4,31,2015,31000000,58879132,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Super Hit
164,777,146,455,78,221,176,219,59000,121,2,31,2015,30000000,46875468,1,0,0,0,0,1,0,0,0,1,1,0,0,1,Hit
44,845,199,15000,0,1000,610,424,44000,124,0,31,2015,30000000,52418902,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Hit
378,43,180,11000,520,2000,236,1000,34000,112,1,31,2015,25000000,42478175,0,0,0,1,0,0,1,0,0,0,1,0,0,0,Hit
184,0,30,10000,86,1000,301,751,40000,115,8,31,2015,29000000,183436380,0,0,0,0,0,0,0,0,1,0,0,0,0,0,BlockBaster
195,473,11,559,543,427,643,303,76000,167,0,31,2015,28000000,161029270,0,0,0,0,0,0,0,0,0,1,1,0,1,0,BlockBaster
1,285,423,33000,149,23000,137,767,99000,130,4,31,2015,28000000,70235322,0,0,0,0,0,0,0,0,1,0,1,0,1,0,BlockBaster
146,234,134,1000,761,962,727,660,0,107,2,31,2015,28000000,6998324,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Flop
610,763,425,16000,207,543,720,523,11000,117,0,31,2015,26000000,12276810,1,0,1,0,0,1,0,0,0,0,0,0,0,1,Flop
77,241,478,27000,570,154,783,151,43000,132,2,30,2015,30000000,1865774,0,0,0,0,0,0,0,0,0,1,1,0,1,1,Flop
473,36,315,562,322,499,329,399,0,127,7,4,2015,26000000,12188642,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Flop
188,19,401,1000,232,897,199,848,37000,114,1,31,2015,105000000,28772222,1,0,0,0,0,0,0,0,0,1,0,0,0,1,Flop
480,118,114,11000,682,1000,177,287,11000,110,2,31,2015,40000000,5773519,0,0,1,0,0,0,0,0,0,0,1,1,0,1,Flop
86,11,143,805,558,173,648,150,0,96,0,9,2015,25000000,16027866,1,0,0,0,0,0,0,0,0,1,0,0,0,1,Flop
66,132,212,1000,373,465,231,455,33000,111,0,31,2015,20000000,42652003,0,1,0,0,0,0,0,1,0,0,0,0,0,0,BlockBaster
639,310,51,745,327,168,107,77,80000,128,2,31,2015,20000000,44988180,0,0,0,0,0,0,0,0,0,1,1,0,1,0,BlockBaster
316,53,61,14000,565,1000,671,580,25000,101,1,31,2015,20000000,13650738,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Flop
11,38,481,1000,125,1000,557,975,15000,106,0,20,2015,20000000,6420319,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Flop
35,14,139,2000,263,769,103,400,0,118,4,31,2015,20000000,2246000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Flop
34,11000,60,11000,44,11000,542,188,0,122,0,31,2015,10000000,531009,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Flop
284,24,380,10000,22,566,800,85,0,107,13,31,2015,17000000,26284475,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Hit
133,0,267,14000,512,13000,559,816,23000,122,0,30,2015,30000000,17750583,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Flop
462,51,356,427,738,234,207,89,21000,129,0,31,2015,17000000,44469602,0,0,0,0,0,0,0,0,0,0,1,0,1,0,BlockBaster
420,66,2,3000,168,658,24,562,27000,98,0,31,2015,15000000,42592530,0,0,0,0,0,0,1,0,1,0,0,1,0,0,BlockBaster
85,488,152,15000,96,14000,86,13000,11000,105,1,31,2015,37000000,20991497,0,0,0,1,0,0,0,0,1,0,1,0,0,0,Flop
239,141,397,1000,140,103,725,56,0,105,1,28,2015,15000000,613556,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Flop
225,13,322,20000,133,17000,457,642,41000,115,3,31,2015,14800000,66009973,0,0,0,0,0,0,0,0,1,0,1,0,0,0,BlockBaster
598,38,2,3000,277,837,161,390,0,99,4,31,2015,14000000,12282677,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Flop
13,232,147,149,678,145,163,123,109000,108,0,30,2015,15000000,25440971,0,0,1,0,0,1,0,0,0,0,1,0,0,1,Hit
381,412,235,805,315,681,124,491,72000,118,0,17,2015,13000000,14677654,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Average
402,83,131,3000,30,1000,217,794,0,91,0,31,2015,8495000,1712111,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Flop
249,14,360,733,121,558,534,376,0,109,2,31,2015,12000000,31990064,0,0,0,1,0,1,0,0,0,0,1,0,0,0,BlockBaster
159,16,171,452,369,328,755,265,0,106,0,31,2015,12000000,22331028,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Super Hit
623,12,233,17000,495,523,56,183,26000,94,0,31,2015,135000000,177343675,0,1,1,0,1,0,1,1,1,0,0,0,0,0,Hit
626,0,96,1000,407,445,18,247,26000,111,1,31,2015,12000000,14616,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Flop
298,34,263,838,264,55,252,54,36000,111,1,30,2015,11000000,38317535,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BlockBaster
581,64,425,16000,266,638,235,553,34000,109,2,30,2015,11000000,33305037,0,0,0,0,0,0,0,0,0,0,1,0,1,0,BlockBaster
380,482,297,852,293,542,480,482,29000,97,0,3,2015,10000000,52200504,0,0,0,0,0,0,1,0,0,0,0,1,0,1,BlockBaster
109,11,285,1000,325,412,332,220,13000,97,0,31,2015,10000000,27736779,0,0,0,0,0,1,0,0,0,0,0,1,0,1,BlockBaster
308,108,472,220,130,186,695,111,21000,122,6,30,2015,10000000,33071558,0,0,0,0,0,0,0,0,1,0,1,0,0,0,BlockBaster
295,0,69,1000,32,562,840,458,15000,108,1,31,2015,5000000,43771291,0,0,0,0,0,1,0,0,0,0,0,0,0,1,BlockBaster
123,102,7,14000,341,3000,538,970,0,106,0,31,2015,10000000,5348317,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Flop
46,17,42,35000,625,966,753,429,8000,101,4,31,2015,8500000,34017854,0,0,0,0,0,0,0,0,1,0,0,0,0,0,BlockBaster
175,26,221,1000,727,442,193,0,0,90,0,31,2015,8000000,3442820,0,0,0,1,1,0,0,0,1,0,1,0,0,0,Flop
522,44,277,637,609,256,461,190,23000,103,3,31,2015,7000000,17474107,0,0,0,0,0,0,0,0,1,1,1,0,0,0,BlockBaster
498,6,456,7000,375,1000,500,935,0,103,0,31,2015,7000000,532988,0,0,0,1,0,0,0,0,0,0,1,0,1,0,Flop
295,0,69,1000,32,562,840,458,15000,108,1,31,2015,5000000,43771291,0,0,0,0,0,1,0,0,0,0,0,0,0,1,BlockBaster
145,26,380,10000,480,830,215,801,0,83,0,31,2015,3300000,25799043,0,0,1,0,0,0,0,0,0,0,0,1,0,1,BlockBaster
300,66,454,155,158,78,710,13,16000,103,0,31,2015,5000000,27285953,1,0,0,0,0,0,0,0,0,0,0,0,0,1,BlockBaster
427,35,182,4000,89,849,168,473,0,121,0,31,2015,5000000,4700361,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Flop
281,57,18,727,484,442,385,233,10000,95,0,31,2015,5000000,3219029,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Flop
294,456,186,20000,121,559,597,394,24000,111,4,31,2015,150000000,34964818,0,1,0,0,0,0,1,1,0,0,0,0,0,0,Flop
234,9,241,584,310,430,186,428,22000,95,2,31,2015,8500000,131175,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Flop
524,357,424,3000,298,465,2,326,8000,91,1,31,2015,4000000,35385560,0,0,0,0,0,1,0,0,0,0,0,0,0,1,BlockBaster
530,22,261,648,393,191,655,159,43000,92,0,31,2015,3500000,25138292,0,0,0,0,0,1,0,0,0,0,0,1,0,0,BlockBaster
92,117,206,21,346,3,629,0,121,100,0,31,2015,3500000,29233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flop
360,0,183,2000,206,520,488,502,56000,105,1,31,2015,95000000,201148159,0,0,0,1,0,0,1,1,0,0,1,0,0,0,BlockBaster
320,16,15,2000,202,848,507,835,13000,120,5,31,2015,2300000,12985267,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BlockBaster
531,7,336,128,57,22,96,17,305,125,0,31,2015,2100000,3330,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Flop
415,31,489,804,245,625,405,328,0,96,0,30,2015,2000000,3590010,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Super Hit
282,5,120,1000,443,426,777,349,0,97,1,31,2015,2000000,2557668,0,0,0,0,0,0,0,0,0,1,1,0,0,1,Hit
