,movie_title,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,movie_facebook_likes,genres,duration,facenumber_in_poster,country,title_year,budget,gross,imdb_score,Finance_ratio,Financial_Label,IMDb_Label,numeric_country,Action,Adventure,Sci-Fi,Romance,Animation,Mystery,Fantasy,Family,Comedy,Crime,Drama,Horror,Biography,Thriller
40,Jane Got a Gun ,209,149,361,20000,551,617,94,439,0,Action|Drama|Western,98,0,31,2016,25000000,1512815,5.8,0.0605126,Flop,CLASS-2,31,1,0,0,0,0,0,0,0,0,0,1,0,0,0
41,Eddie the Eagle ,167,452,186,20000,699,732,796,141,15000,Biography|Comedy|Drama|Sport,106,3,30,2016,23000000,15785632,7.5,0.686331826,Flop,CLASS-3,30,0,0,0,0,0,0,0,0,1,0,1,0,1,0
42,"Hail, Caesar! ",191,1000,435,19000,133,17000,12,1000,23000,Comedy|Mystery,106,5,30,2016,22000000,29997095,6.4,1.3635043180000002,Hit,CLASS-2,30,0,0,0,0,0,1,0,0,1,0,0,0,0,0
43,Me Before You ,615,17,428,11000,242,10000,102,418,51000,Drama|Romance,110,0,30,2016,20000000,56154094,7.6,2.8077047000000004,BlockBaster,CLASS-4,30,0,0,0,1,0,0,0,0,0,0,1,0,0,0
44,Bad Moms ,322,24,349,15000,334,1000,330,851,18000,Comedy,100,9,31,2016,20000000,55461307,6.7,2.77306535,BlockBaster,CLASS-3,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,Risen ,365,58,393,141,328,76,521,47,21000,Action|Adventure|Drama|Mystery,107,2,31,2016,20000000,36874745,6.3,1.84373725,Super Hit,CLASS-2,31,1,1,0,0,0,1,0,0,0,0,1,0,0,0
46,Nerve ,235,24,429,646,474,441,241,374,0,Adventure|Crime|Mystery|Sci-Fi|Thriller,96,0,31,2016,20000000,28876924,7.1,1.4438461999999999,Hit,CLASS-3,31,0,1,1,0,0,1,0,0,0,1,0,0,0,1
47,Triple 9 ,304,214,267,14000,556,12000,160,968,0,Action|Crime|Drama|Thriller,115,3,31,2016,20000000,12626905,6.3,0.63134525,Flop,CLASS-2,31,1,0,0,0,0,0,0,0,0,1,1,0,0,1
48,My Big Fat Greek Wedding 2 ,370,52,366,567,460,312,390,261,19000,Comedy|Family|Romance,94,10,31,2016,18000000,59573085,6.1,3.309615833,BlockBaster,CLASS-2,31,0,0,0,1,0,0,0,1,1,0,0,0,0,0
49,Midnight Special ,276,337,278,4000,646,820,624,201,0,Adventure|Drama|Sci-Fi|Thriller,112,0,12,2016,18000000,3707794,6.7,0.20598855600000002,Flop,CLASS-3,12,0,1,1,0,0,0,0,0,0,0,1,0,0,1
50,The Young Messiah ,119,19,100,241,747,118,259,107,0,Drama,111,0,31,2016,18500000,6462576,5.4,0.349328432,Flop,CLASS-2,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,Bad Moms ,322,24,349,15000,334,1000,330,851,18000,Comedy,100,9,31,2016,20000000,55461307,6.7,2.77306535,BlockBaster,CLASS-3,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,Keanu ,488,10,365,826,751,622,446,415,0,Action|Comedy,100,2,31,2016,15000000,20566327,6.4,1.3710884669999999,Hit,CLASS-2,31,1,0,0,0,0,0,0,0,1,0,0,0,0,0
53,Miracles from Heaven ,473,36,219,3000,107,3000,517,579,16000,Drama,109,0,31,2016,13000000,61693523,6.8,4.745655615,BlockBaster,CLASS-3,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0
54,The Shallows ,270,174,507,619,103,350,736,2,0,Drama|Horror|Thriller,86,0,31,2016,17000000,54257433,6.8,3.191613706,BlockBaster,CLASS-3,31,0,0,0,0,0,0,0,0,0,0,1,1,0,1
55,Operation Chromite ,302,32,296,14000,197,81,430,29,139,Action|Drama|History|War,115,1,26,2016,12620000,31662,6.8,0.002508875,Flop,CLASS-3,26,1,0,0,0,0,0,0,0,0,0,1,0,0,0
56,Dirty Grandpa ,125,11,409,22000,762,851,350,411,11000,Comedy,109,1,31,2016,11500000,35537564,6.0,3.090222957,BlockBaster,CLASS-2,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,The Purge: Election Year ,253,65,164,798,373,465,578,393,0,Action|Horror|Sci-Fi|Thriller,109,1,9,2016,10000000,78845130,6.1,7.884513,BlockBaster,CLASS-2,9,1,0,1,0,0,0,0,0,0,0,0,1,0,1
58,The Boy ,664,19,288,4000,632,334,758,130,20000,Horror|Mystery|Thriller,97,0,31,2016,10000000,35794166,6.0,3.5794165999999996,BlockBaster,CLASS-2,31,0,0,0,0,0,1,0,0,0,0,0,1,0,1
59,The Forest ,269,4,153,533,685,35,281,4,10000,Horror|Mystery|Thriller,93,1,31,2016,10000000,26583369,4.8,2.6583368999999997,BlockBaster,CLASS-1,31,0,0,0,0,0,1,0,0,0,0,0,1,0,1
60,The Neon Demon ,458,0,268,18000,69,860,135,500,0,Horror|Thriller,118,2,9,2016,7000000,1330827,7.0,0.19011814300000002,Flop,CLASS-3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1
61,10 Cloverfield Lane ,128,16,61,14000,362,338,774,82,33000,Drama|Horror|Mystery|Sci-Fi|Thriller,104,0,31,2016,15000000,71897215,7.3,4.7931476669999995,BlockBaster,CLASS-3,31,0,0,1,0,0,1,0,0,0,0,1,1,0,1
62,Lights Out ,142,26,50,2000,37,509,270,300,0,Horror,81,0,31,2016,4900000,56536016,6.9,11.53796245,BlockBaster,CLASS-3,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,Fifty Shades of Black ,429,89,167,729,522,706,707,355,11000,Comedy,92,4,31,2016,5000000,11675178,3.5,2.3350356,BlockBaster,CLASS-1,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64,The Perfect Match ,65,23,137,927,101,509,476,503,740,Comedy|Romance,96,6,31,2016,5000000,9658370,4.5,1.9316740000000001,Super Hit,CLASS-1,31,0,0,0,1,0,0,0,0,1,0,0,0,0,0
65,The Masked Saint ,657,28,128,426,534,294,470,131,0,Action|Biography|Crime|Drama|Family|Fantasy,105,0,3,2016,3500000,123777,4.7,0.035364857,Flop,CLASS-1,3,1,0,0,0,0,0,1,1,0,1,1,0,1,0
66,Compadres ,185,0,273,574,304,327,245,165,174,Action|Comedy,101,2,20,2016,3000000,3105269,5.0,1.035089667,Average,CLASS-1,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0
67,God's Not Dead 2 ,231,18,45,634,621,420,511,295,0,Drama,120,11,31,2016,5000000,20773070,3.4,4.154614,BlockBaster,CLASS-1,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0
68,Spectre ,560,0,95,11000,628,393,759,161,85000,Action|Adventure|Thriller,148,1,30,2015,245000000,200074175,6.8,0.816629286,Flop,CLASS-3,30,1,1,0,0,0,0,0,0,0,0,0,0,0,1
69,Avengers: Age of Ultron ,344,0,90,26000,616,21000,726,19000,118000,Action|Adventure|Sci-Fi,141,4,31,2015,250000000,458991599,7.5,1.835966396,Super Hit,CLASS-3,31,1,1,1,0,0,0,0,0,0,0,0,0,0,0
70,Jurassic World ,116,365,68,3000,383,2000,609,1000,150000,Action|Adventure|Sci-Fi|Thriller,124,0,31,2015,150000000,652177271,7.0,4.347848473,BlockBaster,CLASS-3,31,1,1,1,0,0,0,0,0,0,0,0,0,0,1
71,Furious 7 ,263,0,209,26000,573,23000,832,14000,94000,Action|Crime|Thriller,140,0,31,2015,190000000,350034110,7.2,1.842284789,Super Hit,CLASS-3,31,1,0,0,0,0,0,0,0,0,1,0,0,0,1
72,Jupiter Ascending ,372,0,80,17000,524,15000,229,13000,44000,Action|Adventure|Sci-Fi,127,1,31,2015,176000000,47375327,5.4,0.269177994,Flop,CLASS-2,31,1,1,1,0,0,0,0,0,0,0,0,0,0,0
73,Inside Out ,486,0,26,1000,526,767,636,384,118000,Adventure|Animation|Comedy|Drama|Family|Fantasy,95,1,31,2015,175000000,356454367,8.3,2.036882097,BlockBaster,CLASS-4,31,0,1,0,0,1,0,1,1,1,0,1,0,0,0
74,Tomorrowland ,70,663,259,2000,144,638,793,604,37000,Action|Adventure|Family|Mystery|Sci-Fi,130,2,31,2015,190000000,93417865,6.5,0.491672974,Flop,CLASS-2,31,1,1,1,0,0,1,0,1,0,0,0,0,0,0
75,The Hunger Games: Mockingjay - Part 2 ,198,508,222,34000,582,22000,411,14000,38000,Adventure|Sci-Fi,137,1,31,2015,160000000,281666058,6.6,1.7604128630000002,Super Hit,CLASS-3,31,0,1,1,0,0,0,0,0,0,0,0,0,0,0
76,Terminator Genisys ,7,230,193,24000,242,10000,527,2000,82000,Action|Adventure|Sci-Fi,126,2,31,2015,155000000,89732035,6.6,0.578916355,Flop,CLASS-3,31,1,1,1,0,0,0,0,0,0,0,0,0,0,0
77,Mad Max: Fury Road ,213,750,478,27000,137,9000,860,943,191000,Action|Adventure|Sci-Fi|Thriller,120,0,0,2015,150000000,153629485,8.1,1.024196567,Average,CLASS-4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
78,Mission: Impossible - Rogue Nation ,106,188,476,10000,345,10000,734,641,47000,Action|Adventure|Thriller,131,0,5,2015,150000000,195000874,7.4,1.3000058270000001,Hit,CLASS-3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1
79,Pan ,294,456,186,20000,121,548,597,394,24000,Adventure|Family|Fantasy,111,4,31,2015,150000000,34964818,5.8,0.233098787,Flop,CLASS-2,31,0,1,0,0,0,0,1,1,0,0,0,0,0,0
80,The Revenant ,10,0,291,29000,725,27000,499,733,190000,Adventure|Drama|Thriller|Western,156,0,31,2015,135000000,183635922,8.1,1.360266089,Hit,CLASS-4,31,0,1,0,0,0,0,0,0,0,0,1,0,0,1
81,Ant-Man ,499,235,259,2000,292,2000,778,680,61000,Action|Adventure|Comedy|Sci-Fi,117,6,31,2015,130000000,180191634,7.4,1.386089492,Hit,CLASS-3,31,1,1,1,0,0,0,0,0,1,0,0,0,0,0
82,Home ,623,12,233,17000,495,523,56,183,26000,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,94,0,31,2015,135000000,177343675,6.7,1.313656852,Hit,CLASS-3,31,0,1,1,0,1,0,1,1,1,0,0,0,0,0
83,Fantastic Four ,342,128,469,596,598,360,794,78,41000,Action|Adventure|Sci-Fi,100,3,31,2015,120000000,56114221,4.3,0.467618508,Flop,CLASS-1,31,1,1,1,0,0,0,0,0,0,0,0,0,0,0
84,San Andreas ,72,62,141,12000,308,2000,60,884,52000,Action|Adventure|Drama|Thriller,114,0,31,2015,110000000,155181732,6.1,1.410743018,Hit,CLASS-2,31,1,1,0,0,0,0,0,0,0,0,1,0,0,1
85,Insurgent ,535,124,267,14000,704,5000,537,1000,27000,Adventure|Sci-Fi|Thriller,119,0,31,2015,110000000,129995817,6.3,1.181780155,Average,CLASS-2,31,0,1,1,0,0,0,0,0,0,0,0,0,0,1
86,The Martian ,523,0,323,13000,217,801,80,372,153000,Adventure|Drama|Sci-Fi,151,1,31,2015,108000000,228430993,8.1,2.115101787,BlockBaster,CLASS-4,31,0,1,1,0,0,0,0,0,0,0,1,0,0,0
87,Pan ,294,456,186,20000,121,548,597,394,24000,Adventure|Family|Fantasy,111,4,31,2015,150000000,34964818,5.8,0.233098787,Flop,CLASS-2,31,0,1,0,0,0,0,1,1,0,0,0,0,0,0
88,Point Break ,188,19,401,1000,232,897,199,848,37000,Action|Crime|Sport|Thriller,114,1,31,2015,105000000,28772222,5.3,0.274021162,Flop,CLASS-2,31,1,0,0,0,0,0,0,0,0,1,0,0,0,1
89,In the Heart of the Sea ,548,2000,90,26000,76,911,265,571,27000,Action|Adventure|Biography|Drama|History|Thriller,122,0,31,2015,100000000,24985612,7.0,0.24985612,Flop,CLASS-3,31,1,1,0,0,0,0,0,0,0,0,1,0,1,1
90,The Peanuts Movie ,596,20,163,144,739,42,85,36,33000,Adventure|Animation|Comedy|Family,88,0,31,2015,99000000,130174897,7.2,1.3148979490000001,Hit,CLASS-3,31,0,1,0,0,1,0,0,1,1,0,0,0,0,0
91,Cinderella ,360,0,183,2000,206,520,488,502,56000,Drama|Family|Fantasy|Romance,105,1,31,2015,95000000,201148159,7.0,2.117349042,BlockBaster,CLASS-3,31,0,0,0,1,0,0,1,1,0,0,1,0,0,0
92,Alvin and the Chipmunks: The Road Chip ,654,12,42,35000,379,1000,369,1000,0,Adventure|Animation|Comedy|Family|Fantasy|Music,92,0,31,2015,90000000,85884815,5.0,0.954275722,Flop,CLASS-1,31,0,1,0,0,1,0,1,1,1,0,0,0,0,0
93,Pixels ,96,0,392,22000,8,11000,410,1000,39000,Action|Animation|Comedy|Sci-Fi,106,0,31,2015,88000000,78747585,5.6,0.89485892,Flop,CLASS-2,31,1,0,1,0,1,0,0,0,1,0,0,0,0,0
94,Fantastic Four ,342,128,469,596,598,360,794,78,41000,Action|Adventure|Sci-Fi,100,3,31,2015,120000000,56114221,4.3,0.467618508,Flop,CLASS-1,31,1,1,1,0,0,0,0,0,0,0,0,0,0,0
95,Hotel Transylvania 2 ,210,266,455,12000,8,11000,261,859,16000,Animation|Comedy|Family|Fantasy,89,0,31,2015,80000000,169692572,6.7,2.12115715,BlockBaster,CLASS-3,31,0,0,0,0,1,0,1,1,1,0,0,0,0,0
96,The Last Witch Hunter ,75,42,491,14000,372,788,494,612,21000,Action|Adventure|Fantasy,106,0,31,2015,90000000,27356090,6.0,0.303956556,Flop,CLASS-2,31,1,1,0,0,0,0,1,0,0,0,0,0,0,0
97,The Little Prince ,403,54,215,12000,324,11000,505,6000,31000,Adventure|Animation|Drama|Family|Fantasy,108,1,9,2015,81200000,1339152,7.8,0.01649202,Flop,CLASS-4,9,0,1,0,0,1,0,1,1,0,0,1,0,0,0
98,The Man from U.N.C.L.E. ,229,0,185,15000,237,509,149,104,43000,Action|Adventure|Comedy,116,2,31,2015,75000000,45434443,7.3,0.605792573,Flop,CLASS-3,31,1,1,0,0,0,0,0,0,1,0,0,0,0,0
99,Minions ,371,22,456,7000,367,4000,772,1000,70000,Action|Animation|Comedy|Family|Sci-Fi,91,0,31,2015,74000000,336029560,6.4,4.54094,BlockBaster,CLASS-2,31,1,0,1,0,1,0,0,1,1,0,0,0,0,0
100,The SpongeBob Movie: Sponge Out of Water ,483,5,470,870,85,861,226,726,16000,Adventure|Animation|Comedy|Family|Fantasy,92,0,31,2015,74000000,162495848,6.0,2.1958898380000003,BlockBaster,CLASS-2,31,0,1,0,0,1,0,1,1,1,0,0,0,0,0
101,Blackhat ,425,0,90,26000,54,326,99,301,11000,Action|Crime|Drama|Mystery|Thriller,133,1,31,2015,70000000,7097125,5.4,0.1013875,Flop,CLASS-2,31,1,0,0,0,0,1,0,0,0,1,1,0,0,1
102,Ted 2 ,576,3000,296,14000,533,11000,741,3000,30000,Comedy,125,0,31,2015,68000000,81257500,6.4,1.194963235,Average,CLASS-2,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103,Focus ,220,43,499,10000,11,806,287,523,23000,Comedy|Crime|Drama|Romance,105,0,31,2015,50100000,53846915,6.6,1.074788723,Average,CLASS-3,31,0,0,0,1,0,0,0,0,1,1,1,0,0,0
104,Everest ,51,175,341,963,487,580,807,221,40000,Adventure|Biography|Drama|History|Sport|Thriller,121,0,30,2015,55000000,43247140,7.1,0.786311636,Flop,CLASS-3,30,0,1,0,0,0,0,0,0,0,0,1,0,1,1
105,Dragon Blade ,131,10,446,21,576,18,775,7,0,Action|Adventure|Drama|History,103,3,5,2015,65000000,72413,6.1,0.001114046,Flop,CLASS-2,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0
106,The Hateful Eight ,505,16000,109,46000,342,1000,859,1000,114000,Crime|Drama|Mystery|Thriller|Western,187,1,31,2015,44000000,54116191,7.9,1.229913432,Average,CLASS-4,31,0,0,0,0,0,1,0,0,0,1,1,0,0,1
107,The Scorch Trials ,660,47,276,988,448,960,700,240,24000,Action|Sci-Fi|Thriller,132,0,31,2015,61000000,81687587,6.4,1.33914077,Hit,CLASS-2,31,1,0,1,0,0,0,0,0,0,0,0,0,0,1
108,Joy ,149,737,222,34000,615,22000,98,14000,24000,Biography|Comedy|Drama,124,3,31,2015,60000000,56443482,6.6,0.9407247,Flop,CLASS-3,31,0,0,0,0,0,0,0,0,1,0,1,0,1,0
109,Mortdecai ,147,192,248,40000,561,2000,824,280,12000,Action|Comedy|Mystery|Romance,107,2,30,2015,60000000,7605668,5.5,0.126761133,Flop,CLASS-2,30,1,0,0,1,0,1,0,0,1,0,0,0,0,0
110,Goosebumps ,525,11,377,2000,226,1000,451,543,35000,Adventure|Comedy|Family|Fantasy|Horror,103,4,31,2015,58000000,80021740,6.4,1.3796851719999998,Hit,CLASS-2,31,0,1,0,0,0,0,1,1,1,0,0,1,0,0
111,Black Mass ,565,108,248,40000,74,19000,3,3000,44000,Biography|Crime|Drama,123,7,31,2015,53000000,62563543,7.0,1.180444208,Average,CLASS-3,31,0,0,0,0,0,0,0,0,0,1,1,0,1,0
112,Daddy's Home ,572,51,497,8000,449,2000,512,322,13000,Comedy|Family,96,2,31,2015,50000000,150315155,6.1,3.0063031000000002,BlockBaster,CLASS-2,31,0,0,0,0,0,0,0,1,1,0,0,0,0,0
113,Run All Night ,270,174,296,14000,167,988,113,655,15000,Action|Crime|Drama|Thriller,114,2,31,2015,50000000,26442251,6.6,0.52884502,Flop,CLASS-3,31,1,0,0,0,0,0,0,0,0,1,1,0,0,1
114,Chappie ,454,662,186,20000,668,2000,408,502,67000,Action|Crime|Drama|Sci-Fi|Thriller,120,0,31,2015,49000000,31569268,6.9,0.644270776,Flop,CLASS-3,31,1,0,1,0,0,0,0,0,0,1,1,0,0,1
115,Child 44 ,130,79,478,27000,261,254,553,194,18000,Crime|Drama|Thriller,137,3,6,2015,50000000,1206135,6.4,0.0241227,Flop,CLASS-2,6,0,0,0,0,0,0,0,0,0,1,1,0,0,1
