director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,movie_facebook_likes,duration,facenumber_in_poster,country,title_year,budget,Action,Adventure,Sci-Fi,Romance,Animation,Mystery,Fantasy,Family,Comedy,Crime,Drama,Horror,Biography,Thriller
444,179,199,15000,605,567,661,236,23000,116,2,31,2010,200000000,1,1,0,1,0,0,1,0,0,0,0,0,0,0
484,545,350,14000,93,1000,746,529,19000,97,1,11,2010,60000000,1,1,1,0,0,0,0,0,0,0,0,1,0,0
580,189,349,15000,324,11000,771,7000,0,101,2,31,2010,55000000,0,0,0,1,0,0,0,0,1,1,0,0,0,1
191,1000,323,13000,336,12000,111,538,36000,110,0,31,2010,38000000,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,0,225,10000,367,4000,615,206,29000,150,7,31,2010,37000000,0,0,0,0,0,0,0,0,0,1,1,0,0,1
243,5,87,17000,470,1000,589,724,14000,112,0,31,2016,38000000,1,1,1,0,0,0,0,0,0,0,0,0,0,1
557,708,201,11000,385,8000,87,745,26000,140,1,31,2010,60000000,0,0,0,1,0,0,0,0,0,0,1,0,0,0
648,12000,126,18000,629,3000,251,1000,18000,98,1,31,2010,100000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1
143,21000,28,10000,224,349,510,81,74000,120,0,31,2010,40000000,0,0,0,0,0,0,0,0,0,0,1,0,1,0
307,34,389,23000,291,4000,354,1000,0,107,5,31,2010,20000000,1,0,0,0,0,0,0,0,0,1,0,0,0,1
132,13,73,463,59,400,618,308,0,87,0,9,2010,1800000,0,0,0,0,0,0,0,0,0,0,1,1,0,1
278,65,87,17000,216,927,71,405,36000,103,0,31,2013,28000000,1,0,0,0,0,0,0,0,1,1,0,0,0,0
101,129,411,21000,425,17000,787,12000,13000,130,2,31,2009,50000000,0,1,0,1,0,0,1,0,0,0,1,0,0,0
157,282,8,25000,181,11000,705,10000,10000,153,3,30,2009,250000000,0,1,0,0,0,1,1,1,0,0,0,0,0,0
252,0,71,1000,356,936,841,855,33000,178,0,31,2009,237000000,1,1,1,0,0,0,1,0,0,0,0,0,0,0
252,0,71,1000,356,936,841,855,33000,178,0,31,2009,237000000,1,1,1,0,0,0,1,0,0,0,0,0,0,0
246,14000,90,26000,441,12000,112,981,19000,127,0,31,2009,150000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
544,776,378,1000,447,468,808,310,13000,158,0,31,2009,200000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
203,39,209,26000,324,11000,266,798,15000,100,1,31,2013,22000000,1,0,0,0,0,0,0,0,0,1,1,0,0,1
490,0,249,4000,426,722,785,721,0,113,6,31,2009,60000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0
151,160,279,164000,41,137000,743,748,0,82,0,31,2009,40000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0
425,0,248,40000,149,23000,762,1000,0,140,1,31,2009,100000000,0,0,0,1,0,0,0,0,0,1,1,0,1,0
83,23,326,2000,69,860,715,845,73000,108,0,31,2016,28000000,1,0,0,1,0,0,0,0,0,0,0,1,0,0
346,0,1,11000,585,561,531,130,0,153,1,31,2009,75000000,0,0,0,0,0,0,0,0,1,0,1,0,0,0
417,150,66,531,667,82,474,59,11000,113,4,31,2010,155000000,0,1,0,0,0,0,1,1,0,0,0,0,0,0
379,125,477,15000,365,1000,214,721,30000,103,3,31,2010,200000000,0,1,0,0,1,0,1,1,1,0,0,0,0,0
443,31,250,4000,401,225,519,213,0,93,2,31,2010,165000000,0,1,0,0,1,0,1,1,1,0,0,0,0,0
553,274,90,26000,425,17000,713,11000,53000,132,0,31,2012,170000000,1,1,0,0,0,0,1,0,0,0,1,0,0,0
553,274,90,26000,425,17000,713,11000,53000,132,0,31,2012,170000000,1,1,0,0,0,0,1,0,0,0,1,0,0,0
327,473,296,14000,232,897,488,502,19000,99,0,31,2012,150000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0
327,473,296,14000,232,897,488,502,19000,99,0,31,2012,150000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0
620,13000,248,40000,143,17000,156,16000,82000,113,7,31,2012,100000000,0,0,0,0,0,0,1,0,1,0,0,1,0,0
620,13000,248,40000,143,17000,156,16000,82000,113,7,31,2012,100000000,0,0,0,0,0,0,1,0,1,0,0,1,0,0
64,386,411,21000,425,17000,787,12000,65000,115,3,31,2012,120000000,0,1,0,1,0,0,1,0,0,0,1,0,0,0
647,209,225,10000,658,826,756,602,31000,135,0,31,2012,125000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1
647,209,225,10000,658,826,756,602,31000,135,0,31,2012,125000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1
500,97,498,622,88,526,8,56,0,90,1,31,2009,100000000,0,0,1,0,1,0,0,1,1,0,0,0,0,0
272,116,497,8000,710,331,440,329,18000,85,0,31,2012,95000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0
210,266,455,12000,8,11000,399,11000,28000,91,2,31,2012,85000000,0,0,0,0,1,0,1,1,1,0,0,0,0,0
130,79,126,18000,639,16000,716,820,19000,115,1,31,2012,85000000,1,0,0,0,0,1,0,0,0,1,0,0,0,1
198,508,222,34000,582,22000,411,14000,38000,137,1,31,2015,160000000,0,1,1,0,0,0,0,0,0,0,0,0,0,0
72,62,256,14000,225,12000,466,722,0,94,3,31,2012,79000000,1,1,1,0,0,0,1,1,1,0,0,0,0,0
562,0,471,44000,524,15000,340,11000,60000,130,4,31,2013,215000000,0,1,0,0,0,0,1,1,0,0,0,0,0,0
562,0,471,44000,524,15000,340,11000,60000,130,4,31,2013,215000000,0,1,0,0,0,0,1,1,0,0,0,0,0,0
395,395,391,17000,95,11000,574,1000,129000,123,0,31,2013,190000000,1,1,1,0,0,0,0,0,0,0,0,1,0,1
246,14000,44,19000,111,981,596,928,92000,132,0,31,2013,190000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
17,0,395,39,68,23,31,13,147000,91,0,30,2013,100000000,0,1,1,0,0,0,0,0,0,0,1,0,0,1
54,1000,291,29000,237,509,769,77,115000,143,4,0,2013,105000000,0,0,0,1,0,0,0,0,0,0,1,0,0,0
227,0,81,16000,161,968,471,919,83000,131,0,31,2013,190000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
227,0,81,16000,161,968,471,919,83000,131,0,31,2013,190000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
7,230,90,26000,539,20000,52,12000,63000,112,3,31,2013,170000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0
544,776,80,17000,320,551,523,256,33000,131,2,31,2013,150000000,1,0,0,0,0,0,0,0,0,0,1,0,0,1
544,776,80,17000,320,551,523,256,33000,131,2,31,2013,150000000,1,0,0,0,0,0,0,0,0,0,1,0,0,1
580,189,186,20000,732,929,599,544,36000,127,1,31,2011,110000000,1,0,1,0,0,0,0,0,0,0,1,0,0,0
575,91,249,4000,254,904,778,680,17000,120,2,31,2013,35000000,0,0,0,0,0,0,0,0,1,1,0,0,0,0
387,255,355,11000,167,988,551,963,105000,125,6,31,2013,75000000,0,0,0,0,0,1,0,0,0,1,0,0,0,1
165,221,455,12000,8,11000,399,11000,14000,101,4,31,2013,80000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0
258,446,186,20000,697,992,678,929,68000,138,1,31,2013,120000000,1,1,1,0,0,0,0,0,0,0,0,0,0,1
338,364,355,11000,723,10000,859,1000,71000,124,0,31,2013,120000000,1,1,1,0,0,1,0,0,0,0,0,0,0,0
391,0,499,10000,764,943,292,894,37000,100,0,31,2013,130000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
477,521,477,15000,147,535,550,186,65000,134,0,31,2013,55000000,0,0,0,0,0,0,0,0,0,0,1,0,1,1
375,529,119,576,552,447,569,325,23000,115,0,31,2013,28000000,0,0,0,1,0,0,0,0,0,0,1,0,0,1
164,777,186,20000,319,15000,221,1000,86000,153,2,31,2013,46000000,0,0,0,0,0,1,0,0,0,1,1,0,0,1
418,0,141,12000,432,412,558,385,43000,129,4,31,2013,26000000,0,0,0,0,0,0,0,0,1,1,1,0,0,0
205,378,222,34000,378,14000,55,575,140000,142,0,31,2012,78000000,0,1,1,0,0,0,0,0,0,0,1,0,0,1
492,0,5,5000,6,972,342,773,65000,164,0,21,2014,250000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0
523,0,337,13000,137,9000,734,641,97000,124,0,31,2012,130000000,0,1,1,0,0,1,0,0,0,0,0,0,0,0
664,19,160,403,159,169,106,128,12000,83,0,31,2012,1000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0
625,167,88,997,625,966,664,807,0,122,8,31,2012,12000000,0,0,0,1,0,0,0,0,1,0,0,0,0,0
583,165,209,26000,695,13000,115,13000,108000,103,3,31,2012,92000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1
441,16,14,93,330,17,698,11,15000,110,0,31,2012,12000000,1,1,0,0,0,0,0,0,0,0,1,0,0,1
568,96,53,713,611,220,355,204,29000,101,0,31,2012,25000000,0,0,0,1,0,0,0,0,0,0,1,0,0,0
33,0,458,774,589,358,779,341,122000,127,0,31,2012,120000000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
342,128,341,963,24,465,66,371,32000,89,0,31,2012,12000000,0,0,1,0,0,0,0,0,0,0,1,0,0,1
321,22,23,3000,179,1000,583,1000,39000,113,7,31,2012,50000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0
484,545,350,14000,93,1000,88,974,32000,96,0,11,2012,65000000,1,0,1,0,0,0,0,0,0,0,0,1,0,1
514,0,254,23000,112,13000,816,502,75000,119,0,31,2012,30000000,1,0,1,0,0,0,0,0,0,1,1,0,0,1
526,252,248,40000,645,11000,762,1000,58000,136,4,31,2011,250000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0
576,3000,349,15000,665,3000,809,1000,74000,112,1,31,2012,50000000,0,0,0,0,0,0,1,0,1,0,0,0,0,0
565,108,248,40000,74,19000,3,3000,44000,123,7,31,2015,53000000,0,0,0,0,0,0,0,0,0,1,1,0,1,0
255,571,61,14000,744,14000,210,3000,96000,121,3,31,2014,170000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
412,198,170,10000,383,2000,464,884,45000,130,0,31,2014,170000000,1,1,1,0,0,0,0,0,0,0,1,0,0,0
412,198,170,10000,383,2000,464,884,45000,130,0,31,2014,170000000,1,1,1,0,0,0,0,0,0,0,1,0,0,0
170,38,111,756,180,719,1,562,41000,102,0,31,2014,165000000,1,1,1,0,1,0,0,1,1,0,1,0,0,0
44,845,126,18000,143,17000,343,683,56000,132,0,31,2014,55000000,1,0,0,0,0,0,0,0,0,1,0,0,0,1
270,174,296,14000,540,664,727,660,24000,106,0,30,2014,50000000,1,0,0,0,0,1,0,0,0,0,0,0,0,1
501,176,29,11000,40,702,70,282,23000,101,1,31,2010,110000000,1,0,0,0,0,1,0,0,0,1,0,0,0,1
675,0,324,986,84,745,764,413,18000,215,1,31,2009,130000000,1,0,1,0,0,1,0,0,0,0,1,0,0,0
222,563,248,40000,595,1000,766,939,26000,107,0,31,2011,135000000,0,1,0,0,1,0,0,1,1,0,0,0,0,0
670,11,457,1000,254,904,11,745,36000,87,0,19,2016,75000000,0,0,0,0,1,0,0,1,1,0,0,0,0,0
319,4000,435,19000,80,13000,276,591,65000,106,0,30,2016,175000000,0,1,0,0,0,0,1,1,0,0,1,0,0,0
350,681,450,998,506,119,502,105,30000,122,4,31,2016,185000000,1,1,1,0,0,0,0,0,0,0,0,0,0,1
477,521,323,13000,612,365,68,265,31000,123,0,30,2016,120000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1
511,43,141,12000,706,919,536,569,10000,107,2,31,2016,50000000,1,0,0,0,0,0,0,0,1,1,0,0,0,0
625,167,379,2000,536,874,113,655,0,102,0,31,2016,40000000,1,0,0,0,0,0,0,0,1,0,0,0,0,0
322,24,349,15000,334,1000,330,851,18000,100,9,31,2016,20000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,265,392,22000,737,779,76,265,0,99,1,31,2016,29000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0
323,209,114,11000,533,11000,719,886,15000,129,6,31,2016,90000000,1,1,0,0,0,1,0,0,1,1,0,0,0,1
456,89,87,17000,305,329,461,190,0,92,0,31,2016,35000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0
560,0,95,11000,628,393,759,161,85000,148,1,30,2015,245000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1
195,473,11,559,543,427,643,303,76000,167,0,31,2015,28000000,0,0,0,0,0,0,0,0,0,1,1,0,1,0
106,188,476,10000,345,10000,734,641,47000,131,0,5,2015,150000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1
190,164,497,8000,29,2000,166,723,14000,107,2,31,2015,40000000,0,0,0,0,0,0,0,0,1,1,0,0,0,0
346,0,27,492,593,392,414,213,25000,129,1,19,2015,35000000,0,0,0,1,0,0,0,0,1,0,0,0,0,0
31,99,110,598,184,557,233,377,8000,94,1,31,2015,30000000,1,0,0,0,0,0,0,0,1,1,0,0,0,0
380,482,297,852,293,542,480,482,29000,97,0,3,2015,10000000,0,0,0,0,0,0,1,0,0,0,0,1,0,1
198,508,222,34000,582,22000,411,14000,52000,123,1,31,2014,125000000,0,1,1,0,0,0,0,0,0,0,0,0,0,1
418,0,52,974,679,956,450,808,56000,165,2,31,2014,210000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
500,97,80,17000,170,920,25,584,24000,112,2,31,2014,50000000,1,0,0,0,0,0,0,0,1,1,0,0,0,0
456,89,108,920,122,798,318,329,21000,97,3,31,2014,18000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107,22000,329,11000,48,11000,505,6000,349000,169,1,31,2014,165000000,0,1,1,0,0,0,0,0,0,0,1,0,0,0
625,167,65,655,712,521,117,460,0,99,1,31,2014,25000000,1,0,0,1,0,0,0,0,1,1,0,0,0,0
143,21000,387,835,664,812,242,625,146000,149,0,31,2014,61000000,0,0,0,0,0,1,0,0,0,1,1,0,0,1
625,167,417,966,601,807,195,676,3000,106,8,31,2014,24000000,0,0,0,1,0,0,0,0,1,0,0,0,0,0
