director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,movie_facebook_likes,duration,facenumber_in_poster,country,title_year,budget,Action,Adventure,Sci-Fi,Romance,Animation,Mystery,Fantasy,Family,Comedy,Crime,Drama,Horror,Biography,Thriller,IMDb_Label
263,0,211,1000,267,575,689,336,40000,134,0,31,2016,40000000,0,0,0,0,0,1,0,0,0,0,0,1,0,1,CLASS-4
625,167,379,2000,536,874,113,655,0,102,0,31,2016,40000000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,CLASS-2
243,5,87,17000,470,1000,589,724,14000,112,0,31,2016,38000000,1,1,1,0,0,0,0,0,0,0,0,0,0,1,CLASS-2
103,11,21,2000,176,756,586,591,15000,110,4,31,2016,38000000,0,0,0,1,0,0,0,0,1,0,0,0,0,0,CLASS-2
456,89,87,17000,305,329,461,190,0,92,0,31,2016,35000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CLASS-2
47,34,170,10000,371,877,216,24,0,113,2,30,2016,31500000,1,0,1,0,0,1,0,0,0,1,1,0,0,1,CLASS-2
476,176,142,783,394,370,853,322,62000,116,4,31,2016,144000000,1,0,1,0,0,0,1,0,1,0,0,0,0,0,CLASS-2
56,265,392,22000,737,779,76,265,0,99,1,31,2016,29000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CLASS-2
83,23,326,2000,69,860,715,845,73000,108,0,31,2016,28000000,1,0,0,1,0,0,0,0,0,0,0,1,0,0,CLASS-2
319,4000,435,19000,80,13000,276,591,65000,106,0,30,2016,175000000,0,1,0,0,0,0,1,1,0,0,1,0,0,0,CLASS-4
289,0,260,8000,312,698,144,638,0,98,1,31,2016,27000000,0,0,0,0,0,0,0,0,0,1,1,0,0,1,CLASS-3
167,452,186,20000,699,732,796,141,15000,106,3,30,2016,23000000,0,0,0,0,0,0,0,0,1,0,1,0,1,0,CLASS-3
209,149,361,20000,551,617,94,439,0,98,0,31,2016,25000000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,CLASS-2
167,452,186,20000,699,732,796,141,15000,106,3,30,2016,23000000,0,0,0,0,0,0,0,0,1,0,1,0,1,0,CLASS-3
191,1000,435,19000,133,17000,12,1000,23000,106,5,30,2016,22000000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,CLASS-2
615,17,428,11000,242,10000,102,418,51000,110,0,30,2016,20000000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,CLASS-4
322,24,349,15000,334,1000,330,851,18000,100,9,31,2016,20000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CLASS-3
365,58,393,141,328,76,521,47,21000,107,2,31,2016,20000000,1,1,0,0,0,1,0,0,0,0,1,0,0,0,CLASS-2
235,24,429,646,474,441,241,374,0,96,0,31,2016,20000000,0,1,1,0,0,1,0,0,0,1,0,0,0,1,CLASS-3
304,214,267,14000,556,12000,160,968,0,115,3,31,2016,20000000,1,0,0,0,0,0,0,0,0,1,1,0,0,1,CLASS-2
370,52,366,567,460,312,390,261,19000,94,10,31,2016,18000000,0,0,0,1,0,0,0,1,1,0,0,0,0,0,CLASS-2
276,337,278,4000,646,820,624,201,0,112,0,12,2016,18000000,0,1,1,0,0,0,0,0,0,0,1,0,0,1,CLASS-3
119,19,100,241,747,118,259,107,0,111,0,31,2016,18500000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CLASS-2
322,24,349,15000,334,1000,330,851,18000,100,9,31,2016,20000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CLASS-3
488,10,365,826,751,622,446,415,0,100,2,31,2016,15000000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,CLASS-2
473,36,219,3000,107,3000,517,579,16000,109,0,31,2016,13000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CLASS-3
270,174,507,619,103,350,736,2,0,86,0,31,2016,17000000,0,0,0,0,0,0,0,0,0,0,1,1,0,1,CLASS-3
302,32,296,14000,197,81,430,29,139,115,1,26,2016,12620000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,CLASS-3
125,11,409,22000,762,851,350,411,11000,109,1,31,2016,11500000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CLASS-2
253,65,164,798,373,465,578,393,0,109,1,9,2016,10000000,1,0,1,0,0,0,0,0,0,0,0,1,0,1,CLASS-2
664,19,288,4000,632,334,758,130,20000,97,0,31,2016,10000000,0,0,0,0,0,1,0,0,0,0,0,1,0,1,CLASS-2
269,4,153,533,685,35,281,4,10000,93,1,31,2016,10000000,0,0,0,0,0,1,0,0,0,0,0,1,0,1,CLASS-1
458,0,268,18000,69,860,135,500,0,118,2,9,2016,7000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,CLASS-3
128,16,61,14000,362,338,774,82,33000,104,0,31,2016,15000000,0,0,1,0,0,1,0,0,0,0,1,1,0,1,CLASS-3
142,26,50,2000,37,509,270,300,0,81,0,31,2016,4900000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CLASS-3
429,89,167,729,522,706,707,355,11000,92,4,31,2016,5000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CLASS-1
65,23,137,927,101,509,476,503,740,96,6,31,2016,5000000,0,0,0,1,0,0,0,0,1,0,0,0,0,0,CLASS-1
657,28,128,426,534,294,470,131,0,105,0,3,2016,3500000,1,0,0,0,0,0,1,1,0,1,1,0,1,0,CLASS-1
185,0,273,574,304,327,245,165,174,101,2,20,2016,3000000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,CLASS-1
231,18,45,634,621,420,511,295,0,120,11,31,2016,5000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CLASS-1
560,0,95,11000,628,393,759,161,85000,148,1,30,2015,245000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,CLASS-3
344,0,90,26000,616,21000,726,19000,118000,141,4,31,2015,250000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,CLASS-3
116,365,68,3000,383,2000,609,1000,150000,124,0,31,2015,150000000,1,1,1,0,0,0,0,0,0,0,0,0,0,1,CLASS-3
263,0,209,26000,573,23000,832,14000,94000,140,0,31,2015,190000000,1,0,0,0,0,0,0,0,0,1,0,0,0,1,CLASS-3
372,0,80,17000,524,15000,229,13000,44000,127,1,31,2015,176000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,CLASS-2
486,0,26,1000,526,767,636,384,118000,95,1,31,2015,175000000,0,1,0,0,1,0,1,1,1,0,1,0,0,0,CLASS-4
70,663,259,2000,144,638,793,604,37000,130,2,31,2015,190000000,1,1,1,0,0,1,0,1,0,0,0,0,0,0,CLASS-2
198,508,222,34000,582,22000,411,14000,38000,137,1,31,2015,160000000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,CLASS-3
7,230,193,24000,242,10000,527,2000,82000,126,2,31,2015,155000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,CLASS-3
213,750,478,27000,137,9000,860,943,191000,120,0,0,2015,150000000,1,1,1,0,0,0,0,0,0,0,0,0,0,1,CLASS-4
106,188,476,10000,345,10000,734,641,47000,131,0,5,2015,150000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,CLASS-3
294,456,186,20000,121,548,597,394,24000,111,4,31,2015,150000000,0,1,0,0,0,0,1,1,0,0,0,0,0,0,CLASS-2
10,0,291,29000,725,27000,499,733,190000,156,0,31,2015,135000000,0,1,0,0,0,0,0,0,0,0,1,0,0,1,CLASS-4
499,235,259,2000,292,2000,778,680,61000,117,6,31,2015,130000000,1,1,1,0,0,0,0,0,1,0,0,0,0,0,CLASS-3
623,12,233,17000,495,523,56,183,26000,94,0,31,2015,135000000,0,1,1,0,1,0,1,1,1,0,0,0,0,0,CLASS-3
342,128,469,596,598,360,794,78,41000,100,3,31,2015,120000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,CLASS-1
72,62,141,12000,308,2000,60,884,52000,114,0,31,2015,110000000,1,1,0,0,0,0,0,0,0,0,1,0,0,1,CLASS-2
535,124,267,14000,704,5000,537,1000,27000,119,0,31,2015,110000000,0,1,1,0,0,0,0,0,0,0,0,0,0,1,CLASS-2
523,0,323,13000,217,801,80,372,153000,151,1,31,2015,108000000,0,1,1,0,0,0,0,0,0,0,1,0,0,0,CLASS-4
294,456,186,20000,121,548,597,394,24000,111,4,31,2015,150000000,0,1,0,0,0,0,1,1,0,0,0,0,0,0,CLASS-2
188,19,401,1000,232,897,199,848,37000,114,1,31,2015,105000000,1,0,0,0,0,0,0,0,0,1,0,0,0,1,CLASS-2
548,2000,90,26000,76,911,265,571,27000,122,0,31,2015,100000000,1,1,0,0,0,0,0,0,0,0,1,0,1,1,CLASS-3
596,20,163,144,739,42,85,36,33000,88,0,31,2015,99000000,0,1,0,0,1,0,0,1,1,0,0,0,0,0,CLASS-3
360,0,183,2000,206,520,488,502,56000,105,1,31,2015,95000000,0,0,0,1,0,0,1,1,0,0,1,0,0,0,CLASS-3
654,12,42,35000,379,1000,369,1000,0,92,0,31,2015,90000000,0,1,0,0,1,0,1,1,1,0,0,0,0,0,CLASS-1
96,0,392,22000,8,11000,410,1000,39000,106,0,31,2015,88000000,1,0,1,0,1,0,0,0,1,0,0,0,0,0,CLASS-2
342,128,469,596,598,360,794,78,41000,100,3,31,2015,120000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,CLASS-1
210,266,455,12000,8,11000,261,859,16000,89,0,31,2015,80000000,0,0,0,0,1,0,1,1,1,0,0,0,0,0,CLASS-3
75,42,491,14000,372,788,494,612,21000,106,0,31,2015,90000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,CLASS-2
403,54,215,12000,324,11000,505,6000,31000,108,1,9,2015,81200000,0,1,0,0,1,0,1,1,0,0,1,0,0,0,CLASS-4
229,0,185,15000,237,509,149,104,43000,116,2,31,2015,75000000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,CLASS-3
371,22,456,7000,367,4000,772,1000,70000,91,0,31,2015,74000000,1,0,1,0,1,0,0,1,1,0,0,0,0,0,CLASS-2
483,5,470,870,85,861,226,726,16000,92,0,31,2015,74000000,0,1,0,0,1,0,1,1,1,0,0,0,0,0,CLASS-2
425,0,90,26000,54,326,99,301,11000,133,1,31,2015,70000000,1,0,0,0,0,1,0,0,0,1,1,0,0,1,CLASS-2
576,3000,296,14000,533,11000,741,3000,30000,125,0,31,2015,68000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CLASS-2
220,43,499,10000,11,806,287,523,23000,105,0,31,2015,50100000,0,0,0,1,0,0,0,0,1,1,1,0,0,0,CLASS-3
51,175,341,963,487,580,807,221,40000,121,0,30,2015,55000000,0,1,0,0,0,0,0,0,0,0,1,0,1,1,CLASS-3
131,10,446,21,576,18,775,7,0,103,3,5,2015,65000000,1,1,0,0,0,0,0,0,0,0,1,0,0,0,CLASS-2
505,16000,109,46000,342,1000,859,1000,114000,187,1,31,2015,44000000,0,0,0,0,0,1,0,0,0,1,1,0,0,1,CLASS-4
660,47,276,988,448,960,700,240,24000,132,0,31,2015,61000000,1,0,1,0,0,0,0,0,0,0,0,0,0,1,CLASS-2
149,737,222,34000,615,22000,98,14000,24000,124,3,31,2015,60000000,0,0,0,0,0,0,0,0,1,0,1,0,1,0,CLASS-3
147,192,248,40000,561,2000,824,280,12000,107,2,30,2015,60000000,1,0,0,1,0,1,0,0,1,0,0,0,0,0,CLASS-2
525,11,377,2000,226,1000,451,543,35000,103,4,31,2015,58000000,0,1,0,0,0,0,1,1,1,0,0,1,0,0,CLASS-2
565,108,248,40000,74,19000,3,3000,44000,123,7,31,2015,53000000,0,0,0,0,0,0,0,0,0,1,1,0,1,0,CLASS-3
572,51,497,8000,449,2000,512,322,13000,96,2,31,2015,50000000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,CLASS-2
270,174,296,14000,167,988,113,655,15000,114,2,31,2015,50000000,1,0,0,0,0,0,0,0,0,1,1,0,0,1,CLASS-3
454,662,186,20000,668,2000,408,502,67000,120,0,31,2015,49000000,1,0,1,0,0,0,0,0,0,1,1,0,0,1,CLASS-3
130,79,478,27000,261,254,553,194,18000,137,3,6,2015,50000000,0,0,0,0,0,0,0,0,0,1,1,0,0,1,CLASS-2
480,118,114,11000,682,1000,177,287,11000,110,2,31,2015,40000000,0,0,1,0,0,0,0,0,0,0,1,1,0,1,CLASS-2
563,456,218,1000,463,935,120,716,101000,129,0,31,2015,40000000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,CLASS-1
190,164,497,8000,29,2000,166,723,14000,107,2,31,2015,40000000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,CLASS-2
449,278,409,22000,48,11000,666,808,54000,121,2,31,2015,35000000,0,0,0,0,0,0,0,0,1,0,1,0,0,0,CLASS-3
603,14000,477,15000,482,535,29,423,55000,142,0,31,2015,40000000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,CLASS-4
480,118,114,11000,682,1000,177,287,11000,110,2,31,2015,40000000,0,0,1,0,0,0,0,0,0,0,1,1,0,1,CLASS-2
504,180,401,1000,482,535,348,87,0,115,0,31,2015,40000000,1,0,0,0,0,1,0,0,0,1,1,0,0,1,CLASS-2
558,50,460,218,53,133,640,72,21000,159,1,16,2015,18026148,1,1,0,0,0,0,1,0,0,0,1,0,0,0,CLASS-4
31,99,110,598,184,557,233,377,8000,94,1,31,2015,30000000,1,0,0,0,0,0,0,0,1,1,0,0,0,0,CLASS-1
556,0,459,13000,583,597,294,531,70000,133,1,31,2015,35000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CLASS-4
85,488,152,15000,96,14000,86,13000,11000,105,1,31,2015,37000000,0,0,0,1,0,0,0,0,1,0,1,0,0,0,CLASS-2
667,25,347,461,466,79,468,51,12000,105,0,13,2015,36000000,1,0,0,0,0,0,0,0,0,0,1,0,1,0,CLASS-3
346,0,27,492,593,392,414,213,25000,129,1,19,2015,35000000,0,0,0,1,0,0,0,0,1,0,0,0,0,0,CLASS-2
493,15,499,10000,230,979,11,745,23000,123,0,30,2015,35000000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,CLASS-3
38,98,232,472,608,328,552,253,0,87,2,31,2015,35000000,1,0,0,0,0,0,0,0,1,1,0,0,0,0,CLASS-2
537,0,254,23000,677,22,331,6,24000,123,0,31,2015,35000000,0,1,0,0,0,0,0,0,0,0,1,0,1,1,CLASS-3
359,31,481,1000,387,249,539,141,0,91,2,31,2015,35000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CLASS-2
216,88,467,989,505,970,307,954,23000,128,0,31,2015,34000000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,CLASS-3
301,0,90,26000,556,12000,84,816,28000,99,4,31,2015,31000000,0,1,0,0,0,0,0,0,1,0,0,0,0,0,CLASS-2
164,777,146,455,78,221,176,219,59000,121,2,31,2015,30000000,1,0,0,0,0,1,0,0,0,1,1,0,0,1,CLASS-4
44,845,199,15000,0,1000,610,424,44000,124,0,31,2015,30000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CLASS-3
378,43,180,11000,520,2000,236,1000,34000,112,1,31,2015,25000000,0,0,0,1,0,0,1,0,0,0,1,0,0,0,CLASS-3
184,0,30,10000,86,1000,301,751,40000,115,8,31,2015,29000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CLASS-2
195,473,11,559,543,427,643,303,76000,167,0,31,2015,28000000,0,0,0,0,0,0,0,0,0,1,1,0,1,0,CLASS-4
1,285,423,33000,149,23000,137,767,99000,130,4,31,2015,28000000,0,0,0,0,0,0,0,0,1,0,1,0,1,0,CLASS-4
146,234,134,1000,761,962,727,660,0,107,2,31,2015,28000000,0,0,0,0,0,0,0,0,1,0,1,0,0,0,CLASS-2
610,763,425,16000,207,543,720,523,11000,117,0,31,2015,26000000,1,0,1,0,0,1,0,0,0,0,0,0,0,1,CLASS-2
77,241,478,27000,570,154,783,151,43000,132,2,30,2015,30000000,0,0,0,0,0,0,0,0,0,1,1,0,1,1,CLASS-3
473,36,315,562,322,499,329,399,0,127,7,4,2015,26000000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,CLASS-3
188,19,401,1000,232,897,199,848,37000,114,1,31,2015,105000000,1,0,0,0,0,0,0,0,0,1,0,0,0,1,CLASS-2
480,118,114,11000,682,1000,177,287,11000,110,2,31,2015,40000000,0,0,1,0,0,0,0,0,0,0,1,1,0,1,CLASS-2
86,11,143,805,558,173,648,150,0,96,0,9,2015,25000000,1,0,0,0,0,0,0,0,0,1,0,0,0,1,CLASS-2
66,132,212,1000,373,465,231,455,33000,111,0,31,2015,20000000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,CLASS-3
639,310,51,745,327,168,107,77,80000,128,2,31,2015,20000000,0,0,0,0,0,0,0,0,0,1,1,0,1,0,CLASS-4
316,53,61,14000,565,1000,671,580,25000,101,1,31,2015,20000000,0,0,0,0,0,0,0,0,1,0,1,0,0,0,CLASS-3
11,38,481,1000,125,1000,557,975,15000,106,0,20,2015,20000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CLASS-3
35,14,139,2000,263,769,103,400,0,118,4,31,2015,20000000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,CLASS-3
34,11000,60,11000,44,11000,542,188,0,122,0,31,2015,10000000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,CLASS-2
284,24,380,10000,22,566,800,85,0,107,13,31,2015,17000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CLASS-2
133,0,267,14000,512,13000,559,816,23000,122,0,30,2015,30000000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,CLASS-3
462,51,356,427,738,234,207,89,21000,129,0,31,2015,17000000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,CLASS-3
420,66,2,3000,168,658,24,562,27000,98,0,31,2015,15000000,0,0,0,0,0,0,1,0,1,0,0,1,0,0,CLASS-2
85,488,152,15000,96,14000,86,13000,11000,105,1,31,2015,37000000,0,0,0,1,0,0,0,0,1,0,1,0,0,0,CLASS-2
239,141,397,1000,140,103,725,56,0,105,1,28,2015,15000000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,CLASS-2
225,13,322,20000,133,17000,457,642,41000,115,3,31,2015,14800000,0,0,0,0,0,0,0,0,1,0,1,0,0,0,CLASS-2
598,38,2,3000,277,837,161,390,0,99,4,31,2015,14000000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,CLASS-2
13,232,147,149,678,145,163,123,109000,108,0,30,2015,15000000,0,0,1,0,0,1,0,0,0,0,1,0,0,1,CLASS-4
381,412,235,805,315,681,124,491,72000,118,0,17,2015,13000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CLASS-4
402,83,131,3000,30,1000,217,794,0,91,0,31,2015,8495000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,CLASS-1
249,14,360,733,121,558,534,376,0,109,2,31,2015,12000000,0,0,0,1,0,1,0,0,0,0,1,0,0,0,CLASS-2
159,16,171,452,369,328,755,265,0,106,0,31,2015,12000000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,CLASS-2
623,12,233,17000,495,523,56,183,26000,94,0,31,2015,135000000,0,1,1,0,1,0,1,1,1,0,0,0,0,0,CLASS-3
626,0,96,1000,407,445,18,247,26000,111,1,31,2015,12000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CLASS-3
298,34,263,838,264,55,252,54,36000,111,1,30,2015,11000000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,CLASS-3
581,64,425,16000,266,638,235,553,34000,109,2,30,2015,11000000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,CLASS-3
380,482,297,852,293,542,480,482,29000,97,0,3,2015,10000000,0,0,0,0,0,0,1,0,0,0,0,1,0,1,CLASS-2
109,11,285,1000,325,412,332,220,13000,97,0,31,2015,10000000,0,0,0,0,0,1,0,0,0,0,0,1,0,1,CLASS-2
308,108,472,220,130,186,695,111,21000,122,6,30,2015,10000000,0,0,0,0,0,0,0,0,1,0,1,0,0,0,CLASS-3
295,0,69,1000,32,562,840,458,15000,108,1,31,2015,5000000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,CLASS-3
123,102,7,14000,341,3000,538,970,0,106,0,31,2015,10000000,0,0,0,0,0,0,0,0,1,0,1,0,0,0,CLASS-3
46,17,42,35000,625,966,753,429,8000,101,4,31,2015,8500000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CLASS-2
175,26,221,1000,727,442,193,0,0,90,0,31,2015,8000000,0,0,0,1,1,0,0,0,1,0,1,0,0,0,CLASS-3
522,44,277,637,609,256,461,190,23000,103,3,31,2015,7000000,0,0,0,0,0,0,0,0,1,1,1,0,0,0,CLASS-3
498,6,456,7000,375,1000,500,935,0,103,0,31,2015,7000000,0,0,0,1,0,0,0,0,0,0,1,0,1,0,CLASS-2
295,0,69,1000,32,562,840,458,15000,108,1,31,2015,5000000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,CLASS-3
145,26,380,10000,480,830,215,801,0,83,0,31,2015,3300000,0,0,1,0,0,0,0,0,0,0,0,1,0,1,CLASS-2
300,66,454,155,158,78,710,13,16000,103,0,31,2015,5000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CLASS-3
427,35,182,4000,89,849,168,473,0,121,0,31,2015,5000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CLASS-1
281,57,18,727,484,442,385,233,10000,95,0,31,2015,5000000,0,0,0,0,0,0,0,0,0,1,0,1,0,1,CLASS-3
294,456,186,20000,121,559,597,394,24000,111,4,31,2015,150000000,0,1,0,0,0,0,1,1,0,0,0,0,0,0,CLASS-2
234,9,241,584,310,430,186,428,22000,95,2,31,2015,8500000,0,0,0,0,0,0,0,0,0,0,1,1,0,0,CLASS-2
524,357,424,3000,298,465,2,326,8000,91,1,31,2015,4000000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,CLASS-1
530,22,261,648,393,191,655,159,43000,92,0,31,2015,3500000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,CLASS-3
92,117,206,21,346,3,629,0,121,100,0,31,2015,3500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLASS-3
360,0,183,2000,206,520,488,502,56000,105,1,31,2015,95000000,0,0,0,1,0,0,1,1,0,0,1,0,0,0,CLASS-3
320,16,15,2000,202,848,507,835,13000,120,5,31,2015,2300000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CLASS-2
531,7,336,128,57,22,96,17,305,125,0,31,2015,2100000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,CLASS-3
415,31,489,804,245,625,405,328,0,96,0,30,2015,2000000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,CLASS-2
282,5,120,1000,443,426,777,349,0,97,1,31,2015,2000000,0,0,0,0,0,0,0,0,0,1,1,0,0,1,CLASS-2
399,22,16,10000,192,1000,73,80,0,102,3,31,2015,2000000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,CLASS-3
544,776,224,25000,117,463,523,256,0,129,0,31,2015,13500000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CLASS-1
250,47,300,628,7,606,257,585,1000,89,6,31,2015,1900000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CLASS-3
0,102,213,563,352,485,188,360,212,98,0,31,2015,1500000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CLASS-2
37,9,12,61,600,9,497,4,0,112,1,2,2015,4000000,0,0,0,0,0,0,0,0,1,0,1,0,0,0,CLASS-4
