Movie_Title,Movie_years,Content_Ratio,Screen_Count,Aspect_Ratio,Movie_actor_1_name,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_name,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_name,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_writter_names,Movie_writter_credit,Movie_Writter_Oscar_Awards,Music_Writter_Other_Awards,Movie_music_names,Movie_music_credit,Music_Oscar_Awards,Music_Other_Awards,Movie_cinematography_name,Movie_cinematography_credit,Cinematograpy_Oscar_Awards,Cinematograpy_Other_Awards,Budget,Movie_ratings,IMDb_Label
Annie,2013,1,3715,2.39,Albert Finney,25,0,19,Carol Burnett,0,0,3,Ann Reinking,66,0,2,Will Gluck,4,0,0,Carol Sobieski,20,0,2,Charles Strouse,6,0,2,Richard Moore,0,1,19,65000000,8.5,CLASS-4
Sin City: A Dame to Kill For,2014,4,3715,1.85,Mickey Rourke,69,0,16,Jessica Alba,0,0,1,Josh Brolin,18,0,5,Frank Miller,2,0,2,Frank Miller,20,0,2,Robert Rodriguez,7,0,39,Robert Rodriguez,14,0,39,65000000,6.8,CLASS-3
Gone Girl,2014,4,3014,2.35,Ben Affleck,56,0,2,Rosamund Pike,0,0,17,Neil Patrick Harris,11,0,1,David Fincher,90,0,68,Gillian Flynn,0,0,25,Trent Reznor,11,1,21,Jeff Cronenweth,35,0,1,61000000,8.1,CLASS-4
Jack Ryan: Shadow Recruit,2014,2,3715,2.35,Chris Pine,29,0,4,Keira Knightley,0,0,6,Kevin Costner,31,0,1,Kenneth Branagh,15,0,33,Adam Cozad,0,0,0,Patrick Doyle,27,0,12,Haris Zambarloukos,27,0,1,60000000,6.2,CLASS-2
The Boxtrolls,2014,1,3715,1.85,Steve Blum,606,0,0,Dee Bradley Baker,436,0,11,Max Mitchell,39,0,5,Graham Annable,3,0,10,Irena Brignull,2,0,0,Dario Marianelli,21,1,14,John Ashlee Prat,7,0,1,60000000,6.8,CLASS-3
The Lone Ranger,2013,2,3904,2.35,Johnny Depp,68,0,64,Armie Hammer,18,0,2,William Fichtner,105,0,25,Gore Verbinski,19,1,8,Justin Haythe,2,0,2,Hans Zimmer,103,1,121,Bojan Bazelli,35,0,2,215000000,6.4,CLASS-2
Man of Steel,2013,2,4207,2.35,Henry Cavill,15,0,1,Amy Adams,0,0,1,Michael Shannon,80,0,7,Zack Snyder,16,0,5,David S. Goyer,32,0,8,Hans Zimmer,103,1,121,Amir Mokri,23,0,0,225000000,7,CLASS-3
The Hobbit: The Desolation of Smaug,2013,2,3903,2.35,Ian McKellen,94,0,3,Martin Freeman,58,0,0,Richard Armitage,64,0,10,Peter Jackson,20,3,136,Fran Walsh,13,3,44,Howard Shore,72,3,87,Andrew Lesnie,46,1,27,225000000,7.8,CLASS-4
Iron Man 3,2013,2,4253,2.35,Robert Downey Jr.,79,0,33,Gwyneth Paltrow,0,0,6,Don Cheadle,75,0,36,Shane Black,1,0,4,Drew Pearce,6,0,0,Brian Tyler,57,0,16,John Toll,31,2,16,200000000,7.2,CLASS-3
Oz the Great and Powerful,2013,1,3912,2.35,James Franco,72,0,0,Mila Kunis,0,0,12,Rachel Weisz,72,0,51,Sam Raimi,32,0,14,Mitchell Kapner,5,0,0,Danny Elfman,86,0,80,Peter Deming,48,0,2,215000000,6.3,CLASS-2
World War Z,2013,2,3607,2.35,Brad Pitt,66,1,10,Mireille Enos,0,2,83,Daniella Kertesz,31,0,0,Marc Forster,10,0,6,Matthew Michael Carnahan,3,0,0,Marco Beltrami,43,0,18,Ben Seresin,13,0,0,190000000,7,CLASS-3
Star Trek Into Darkness,2013,2,3868,2.35,Chris Pine,26,0,28,Zachary Quinto,37,0,6,Zoe Saldana,36,0,6,J.J. Abrams,11,0,25,Roberto Orci,13,0,3,Michael Giacchino,28,1,80,Dan Mindel,18,0,0,190000000,7.7,CLASS-4
Jack the Giant Slayer,2013,2,3525,2.35,Nicholas Hoult,29,0,7,Eleanor Tomlinson,0,0,3,Ewan McGregor,91,0,0,Bryan Singer,11,0,18,Darren Lemke,5,0,0,John Ottman,32,1,8,Newton Thomas Sigel,58,0,5,195000000,6.2,CLASS-2
The Great Gatsby,2013,2,3535,2.35,Lisa Adam,0,1,82,Frank Aldridge,3,0,4,Amitabh Bachchan,61,0,2,Baz Luhrmann,13,0,35,Baz Luhrmann,11,0,35,Craig Armstrong,24,1,13,Simon Duggan,10,0,5,105000000,7.2,CLASS-3
Pacific Rim,2013,2,3275,1.85,Charlie Hunnam,16,0,3,Diego Klattenhoff,44,0,5,Idris Elba,33,0,0,Guillermo del Toro,12,2,97,Travis Beacham,5,0,0,Ramin Djawadi,21,0,22,Guillermo Navarro,40,1,8,190000000,6.9,CLASS-3
47 Ronin,2013,2,3715,2.35,Keanu Reeves,72,0,10,Hiroyuki Sanada,95,0,1,Ko Shibasaki,9,0,0,Carl Rinsch,5,0,0,Chris Morgan,6,0,0,Ilan Eshkeri,15,0,3,John Mathieson,46,0,8,175000000,6.3,CLASS-2
Frozen,2013,1,3715,2.24,Kristen Bell,0,0,8,Idina Menzel,0,0,13,Jonathan Groff,9,0,2,Chris Buck,2,1,12,Jennifer Lee,0,0,1,Kristen Anderson-Lopez,1,2,18,Jeff Draheim,0,0,1,150000000,7.4,CLASS-3
Thor: The Dark World,2013,2,3841,2.35,Chris Hemsworth,17,0,10,Natalie Portman,0,1,77,Tom Hiddleston,119,1,52,Alan Taylor,30,0,8,Christopher L. Yost,8,0,0,Brian Tyler,57,0,16,Kramer Morgenthau,55,0,2,170000000,6.9,CLASS-3
White House Down,2013,2,3222,2.35,Channing Tatum,31,0,17,Jamie Foxx,51,0,0,Maggie Gyllenhaal,78,0,0,Roland Emmerich,16,0,19,James Vanderbilt,6,0,0,Harald Kloser,6,0,3,Anna Foerster,5,0,1,150000000,6.4,CLASS-2
G.I. Joe: Retaliation,2013,2,3719,2.35,Dwayne Johnson,48,0,17,Jonathan Pryce,92,0,11,Byung-hun Lee,18,0,0,Jon M. Chu,12,0,2,Rhett Reese,11,0,2,Henry Jackman,16,0,11,Stephen F. Windon,35,0,3,130000000,5.8,CLASS-2
Turbo,2013,1,3806,2.35,Ryan Reynolds,51,0,16,Paul Giamatti,72,0,6,Michael PeÃ±a,29,0,3,David Soren,3,0,0,Darren Lemke,5,0,0,Henry Jackman,16,0,11,Chris Stover,0,0,0,135000000,6.4,CLASS-2
The Hunger Games: Catching Fire,2013,2,4163,2.35,Jennifer Lawrence,0,0,98,Liam Hemsworth,11,0,16,Jack Quaid,58,0,1,Francis Lawrence,78,0,5,Simon Beaufoy,14,1,26,James Newton Howard,94,0,68,Jo Willems,27,0,1,130000000,7.5,CLASS-3
After Earth,2013,2,3401,2.35,Jaden Smith,15,0,51,Will Smith,58,0,3,Sophie Okonedo,178,0,3,M. Night Shyamalan,9,0,16,Gary Whitta,4,0,0,James Newton Howard,94,0,68,Peter Suschitzky,49,0,9,130000000,4.8,CLASS-1
R.I.P.D.,2013,2,3715,2.35,Jeff Bridges,80,0,16,Ryan Reynolds,51,1,38,Kevin Bacon,24,0,1,Robert Schwentke,7,0,15,Phil Hay,5,0,5,Christophe Beck,21,0,5,Alwin H. KÃ¼chler,35,0,4,130000000,5.6,CLASS-2
Elysium,2013,4,3284,2.35,Matt Damon,62,1,29,Jodie Foster,0,0,1,Sharlto Copley,26,0,12,Neill Blomkamp,10,0,14,Neill Blomkamp,5,0,14,Ryan Amon,2,0,1,Trent Opaloch,10,0,0,115000000,6.6,CLASS-3
Oblivion,2013,2,3783,2.35,Tom Cruise,37,1,57,Morgan Freeman,99,0,42,Olga Kurylenko,78,0,6,Joseph Kosinski,2,0,0,Karl Gajdusek,1,0,0,Anthony Gonzalez,0,0,10,Claudio Miranda,19,1,24,120000000,7,CLASS-3
The Wolverine,2013,2,3924,2.35,Hugh Jackman,38,0,24,Tao Okamoto,0,0,0,Rila Fukushima,167,0,0,James Mangold,11,0,11,Mark Bomback,7,0,0,Marco Beltrami,43,0,18,Ross Emery,11,0,2,120000000,6.7,CLASS-3
The Croods,2013,1,4046,2.35,Nicolas Cage,66,0,16,Emma Stone,0,1,67,Ryan Reynolds,66,1,44,Kirk De Micco,1,0,0,Chris Sanders,14,0,8,Alan Silvestri,72,0,43,Darren T. Holmes,0,0,0,135000000,7.2,CLASS-3
Gravity,2013,2,3575,2.35,Sandra Bullock,0,0,0,George Clooney,78,0,0,Ed Harris,7,0,0,Alfonso CuarÃƒÂ³n,22,4,231,Alfonso CuarÃ³n,10,4,253,Steven Price,40,1,19,Emmanuel Lubezki,36,3,144,100000000,7.7,CLASS-4
The Smurfs 2,2013,1,3715,1.85,Hank Azaria,81,0,17,Neil Patrick Harris,86,0,2,Brendan Gleeson,44,0,2,Raja Gosnell,9,0,0,J. David Stem,13,0,0,Heitor Pereira,82,0,6,Phil Meheux,51,0,3,105000000,5.3,CLASS-2
Ender's Game,2013,3,3407,2.35,Asa Butterfield,8,0,38,Harrison Ford,67,0,0,Hailee Steinfeld,27,0,0,Gavin Hood,9,0,29,Gavin Hood,6,0,29,Steve Jablonsky,33,0,8,Donald McAlpine,60,0,11,110000000,6.6,CLASS-3
The Wolf of Wall Street,2013,4,3715,2.35,Leonardo DiCaprio,41,1,82,Jonah Hill,40,1,34,Margot Robbie,57,0,8,Martin Scorsese,53,1,5,Terence Winter,8,0,20,Rodrigo Prieto,0,0,16,Thelma Schoonmaker,0,3,36,100000000,8.2,CLASS-4
A Good Day to Die Hard,2013,4,3553,1.85,Bruce Willis,96,0,17,Jai Courtney,6,0,1,Sebastian Koch,43,0,0,John Moore,6,1,166,Skip Woods,5,0,1,Marco Beltrami,43,0,18,Jonathan Sela,37,0,2,92000000,5.3,CLASS-2
The Secret Life of Walter Mitty,2013,1,3715,2.35,Ben Stiller,109,0,2,Kristen Wiig,0,0,0,Jon Daly,40,0,0,Ben Stiller,14,0,0,Steve Conrad,7,0,0,Theodore Shapiro,9,0,15,Stuart Dryburgh,42,0,10,90000000,7.3,CLASS-3
Percy Jackson: Sea of Monsters,2013,1,3715,2.35,Logan Lerman,20,0,5,Alexandra Daddario,0,0,1,Douglas Smith,28,0,1,Thor Freudenthal,10,0,3,Marc Guggenheim,13,0,2,Andrew Lockington,33,0,12,Shelly Johnson,60,0,0,90000000,5.8,CLASS-2
RED 2,2018,2,3715,2.35,Bruce Willis,96,0,17,John Malkovich,83,1,37,Mary-Louise Parker,174,0,0,Dean Parisot,37,1,6,Jon Hoeber,4,0,0,Alan Silvestri,72,0,43,Enrique Chediak,32,0,7,84000000,7.3,CLASS-3
Grown Ups 2,2013,2,3491,1.85,Adam Sandler,51,0,22,Kevin James,23,0,53,Chris Rock,76,0,1,Dennis Dugan,36,1,4,Fred Wolf,13,0,0,Rupert Gregson-Williams,21,0,12,Theo van de Sande,94,0,3,80000000,5.4,CLASS-2
Walking with Dinosaurs 3D,2013,1,3715,2.35,Charlie Rowe,8,0,0,Karl Urban,30,0,1,Angourie Rice,12,0,0,Barry Cook,7,2,4,John Collee,9,0,1,Paul Leonard-Morgan,4,0,1,John Brooks,0,0,0,80000000,5.2,CLASS-2
Cloudy with a Chance of Meatballs 2,2013,1,3715,2.35,Bill Hader,57,0,1,Anna Faris,0,0,0,James Caan,4,0,0,Cody Cameron,0,0,0,Erica Rivinoja,12,0,6,Mark Mothersbaugh,30,0,21,Robert Fisher Jr.,0,0,2,78000000,6.4,CLASS-2
Despicable Me 2,2010,1,3997,1.85,Steve Carell,50,0,29,Kristen Wiig,0,0,2,Benjamin Bratt,70,0,14,Pierre Coffin,3,0,22,Cinco Paul,14,0,1,Heitor Pereira,82,0,6,Gregory Perler,0,0,0,76000000,7.6,CLASS-4
Now You See Me,2013,2,2925,2.35,Jesse Eisenberg,25,1,57,Mark Ruffalo,51,1,14,Woody Harrelson,49,0,1,Louis Leterrier,10,0,1,Ed Solomon,16,0,1,Brian Tyler,57,0,16,Mitchell Amundsen,13,0,0,75000000,7.3,CLASS-3
Escape Plan,2013,4,3715,2.35,Sylvester Stallone,66,0,52,Arnold Schwarzenegger,53,0,6,Jim Caviezel,31,0,0,Mikael HÃƒÂ¥fstrÃƒÂ¶m,23,0,5,Miles Chapman,1,0,0,Alex Heffes,10,0,5,Brendan Galvin,26,0,0,50000000,6.7,CLASS-3
The Dark Knight Rises,2012,2,4404,2.35,Christian Bale,40,0,16,Gary Oldman,76,1,57,Tom Hardy,189,0,22,Christopher Nolan,11,0,121,Jonathan Nolan,5,0,10,Hans Zimmer,100,1,121,Wally Pfister,41,1,26,250000000,8.4,CLASS-4
John Carter,2012,2,3749,2.35,Taylor Kitsch,9,0,2,Lynn Collins,0,0,14,Samantha Morton,44,0,1,Andrew Stanton,7,2,34,Andrew Stanton,13,2,34,Michael Giacchino,26,1,80,Dan Mindel,16,0,0,263700000,6.6,CLASS-3
The Avengers,2012,2,4349,1.85,Robert Downey Jr.,78,0,17,Chris Evans,32,0,33,Mark Ruffalo,53,0,61,Joss Whedon,11,0,25,Joss Whedon,20,0,25,Alan Silvestri,70,0,43,Seamus McGarvey,48,0,13,220000000,8,CLASS-4
Men in Black 3,2012,2,4248,1.85,Will Smith,56,0,49,Tommy Lee Jones,69,0,8,Josh Brolin,37,0,1,Barry Sonnenfeld,19,0,7,Etan Cohen,9,0,3,Danny Elfman,82,0,80,Bill Pope,43,0,3,225000000,6.8,CLASS-3
The Amazing Spider-Man,2012,2,4318,2.35,Andrew Garfield,18,1,62,Emma Stone,0,0,13,Rhys Ifans,14,0,0,Marc Webb,52,0,7,James Vanderbilt,5,0,0,James Horner,138,2,51,John Schwartzman,30,0,1,230000000,6.9,CLASS-3
Battleship,2012,2,3690,2.35,Taylor Kitsch,9,0,18,Alexander SkarsgÃ¥rd,38,0,10,Rihanna,76,0,14,Peter Berg,13,0,3,Jon Hoeber,3,0,0,Steve Jablonsky,32,0,8,Tobias A. Schliessler,51,0,0,209000000,5.8,CLASS-2
Skyfall,2012,2,3505,2.35,Daniel Craig,59,0,18,Judi Dench,0,0,3,Javier Bardem,35,0,3,Sam Mendes,6,1,55,Neal Purvis,11,0,1,Thomas Newman,32,0,65,Roger Deakins,73,2,168,200000000,7.7,CLASS-4
Brave,2020,1,4164,2.35,Kelly Macdonald,0,0,18,Billy Connolly,63,0,1,Emma Thompson,84,0,23,Mark Andrews,5,1,6,Brenda Chapman,4,1,2,Patrick Doyle,26,0,12,Nicholas C. Smith,4,0,2,185000000,7.1,CLASS-3
Snow White and the Huntsman,2012,2,3773,2.35,Kristen Stewart,0,0,12,Chris Hemsworth,14,0,34,Charlize Theron,5,0,3,Rupert Sanders,3,1,2,Evan Daugherty,1,0,1,James Newton Howard,92,0,68,Greig Fraser,27,0,15,170000000,6.1,CLASS-2
Wreck-It Ralph,2012,1,3752,2.35,John C. Reilly,68,0,2,Sarah Silverman,0,0,4,Jack McBrayer,163,0,2,Rich Moore,10,1,19,Rich Moore,3,1,19,Henry Jackman,15,0,11,Rob Dressel,2,0,1,165000000,7.7,CLASS-4
Wrath of the Titans,2012,2,3545,1.85,Sam Worthington,29,0,17,Liam Neeson,82,0,7,Ralph Fiennes,17,0,4,Jonathan Liebesman,6,0,2,Dan Mazeau,0,0,0,Javier Navarrete,6,0,7,Ben Davis,0,0,0,150000000,5.7,CLASS-2
Dark Shadows,2012,2,3755,1.85,Johnny Depp,65,0,58,Michelle Pfeiffer,0,0,17,Helena Bonham Carter,270,0,31,Tim Burton,32,0,27,Seth Grahame-Smith,3,0,0,Danny Elfman,82,0,80,Bruno Delbonnel,17,0,13,100000000,6.2,CLASS-2
Madagascar 3: Europe's Most Wanted,2012,1,4258,1.85,Ben Stiller,105,0,4,Chris Rock,52,0,8,David Schwimmer,43,0,10,Eric Darnell,6,0,7,Eric Darnell,4,0,7,Hans Zimmer,100,1,121,Nick Fletcher,0,0,0,145000000,6.8,CLASS-3
Rise of the Guardians,2012,1,3653,1.85,Chris Pine,22,0,22,Alec Baldwin,96,0,0,Jude Law,19,0,0,Peter Ramsey,5,1,16,David Lindsay-Abaire,3,0,0,Alexandre Desplat,53,2,99,Joyce Arrastia,0,0,0,145000000,7.3,CLASS-3
The Twilight Saga: Breaking Dawn - Part 2,2012,2,4070,2.35,Kristen Stewart,0,0,34,Robert Pattinson,15,0,37,Taylor Lautner,19,0,19,Bill Condon,15,1,18,Melissa Rosenberg,0,0,0,Carter Burwell,51,0,29,Guillermo Navarro,38,1,16,120000000,5.5,CLASS-2
The Bourne Legacy,2012,2,3745,2.35,Jeremy Renner,37,0,26,Scott Glenn,88,0,0,Stacy Keach,166,0,9,Tony Gilroy,2,0,3,Tony Gilroy,15,0,3,James Newton Howard,92,0,68,Robert Elswit,72,1,16,125000000,6.6,CLASS-3
Life of Pi,2012,1,2927,1.85,Suraj Sharma,0,0,3,Irrfan Khan,117,0,2,Ayush Tandon,74,0,27,Ang Lee,20,2,102,Yann Martel,2,0,0,Mychael Danna,26,1,33,Claudio Miranda,18,1,24,120000000,7.9,CLASS-4
Prometheus,2012,4,3396,2.35,Noomi Rapace,0,0,54,Michael Fassbender,36,1,51,Charlize Theron,43,0,3,Ridley Scott,38,0,44,Jon Spaihts,1,0,0,Marc Streitenfeld,25,0,4,Dariusz Wolski,52,0,1,130000000,7,CLASS-3
Django Unchained,2012,4,3010,2.35,Jamie Foxx,50,1,67,Christoph Waltz,99,2,67,Leonardo DiCaprio,33,0,0,Quentin Tarantino,18,2,147,Quentin Tarantino,22,2,165,Robert Richardson,0,3,19,Fred Raskin,45,3,18,100000000,8.4,CLASS-4
The Expendables 2,2012,4,3316,2.35,Sylvester Stallone,64,0,1,Jason Statham,34,0,47,Jet Li,90,0,21,Simon West,16,0,2,Richard Wenk,4,0,0,Brian Tyler,55,0,16,Shelly Johnson,58,0,0,92000000,6.6,CLASS-3
Cloud Atlas,2012,4,3715,2.35,Tom Hanks,65,2,69,Halle Berry,0,0,2,Jim Broadbent,123,1,23,Tom Tykwer,17,0,39,David Mitchell,15,0,4,Reinhold Heil,16,0,8,Frank Griebe,36,0,14,102000000,7.4,CLASS-3
The Campaign,2012,4,3205,1.85,Will Ferrell,78,0,12,Zach Galifianakis,49,0,1,Jason Sudeikis,159,0,0,Jay Roach,11,0,4,Chris Henchy,18,0,3,Theodore Shapiro,9,0,15,Jim Denault,50,0,0,95000000,6.1,CLASS-2
Ice Age: Continental Drift,2012,1,3881,2.35,Aziz Ansari,29,0,18,Joy Behar,0,0,8,Christopher Campbell,33,0,22,Steve Martino,8,0,1,Michael Berg,4,0,0,John Powell,16,0,41,Renato FalcÃ£o,14,0,4,95000000,6.6,CLASS-3
Hotel Transylvania,2012,1,3349,1.85,Adam Sandler,49,0,21,Andy Samberg,51,0,49,Selena Gomez,72,0,1,Genndy Tartakovsky,20,0,7,Peter Baynham,23,0,1,Mark Mothersbaugh,29,0,21,Catherine Apple,1,0,0,85000000,7.1,CLASS-3
Safe House,2012,4,3119,2.35,Denzel Washington,50,2,68,Ryan Reynolds,49,0,11,Vera Farmiga,54,0,6,Daniel Espinosa,7,0,3,David Guggenheim,0,0,0,Ramin Djawadi,19,0,22,Oliver Wood,47,0,0,85000000,6.7,CLASS-3
Mirror Mirror,2012,1,3715,1.85,Julia Roberts,0,1,41,Lily Collins,0,0,7,Armie Hammer,63,0,9,Tarsem Singh,10,0,6,Marc Klein,3,0,0,Alan Menken,24,8,48,Brendan Galvin,25,0,0,85000000,5.6,CLASS-2
Dredd,2012,4,3715,2.35,Karl Urban,29,0,1,Rachel Wood,0,0,14,Andile Mngadi,36,0,1,Pete Travis,10,0,3,John Wagner,6,0,0,Paul Leonard-Morgan,4,0,1,Anthony Dod Mantle,43,1,28,35000000,7.1,CLASS-3
The Hunger Games,2012,2,4137,2.35,Stanley Tucci,87,1,78,Wes Bentley,22,0,11,Jennifer Lawrence,25,0,1,Gary Ross,2,0,8,Gary Ross,9,0,8,James Newton Howard,92,0,68,Tom Stern,22,0,3,78000000,7.2,CLASS-3
Journey 2: The Mysterious Island,2012,1,3470,1.85,Dwayne Johnson,46,0,14,Michael Caine,153,0,9,Josh Hutcherson,36,0,5,Brad Peyton,8,0,0,Brian Gunn,3,0,0,Andrew Lockington,33,0,12,David Tattersall,51,0,0,79000000,5.8,CLASS-2
Underworld: Awakening,2012,4,3715,2.35,Kate Beckinsale,0,0,3,Stephen Rea,110,0,5,Michael Ealy,150,0,0,MÃƒÂ¥ns MÃƒÂ¥rlind,10,0,6,Len Wiseman,5,0,0,Paul Haslinger,23,0,1,Scott Kevan,35,0,2,70000000,6.4,CLASS-2
Rock of Ages,2012,2,3715,2.35,Julianne Hough,0,0,0,Dakota Sage Grant,0,0,0,Matthew Rush Sullivan,6,0,0,Adam Shankman,19,0,3,Justin Theroux,4,0,3,Adam Anders,5,0,2,Bojan Bazelli,34,0,2,75000000,5.9,CLASS-2
Abraham Lincoln: Vampire Hunter,2012,4,3715,2.35,Benjamin Walker,12,0,0,Dominic Cooper,35,0,2,Anthony Mackie,12,0,0,Timur Bekmambetov,13,0,11,Seth Grahame-Smith,3,0,0,Henry Jackman,15,0,11,Caleb Deschanel,28,0,11,69000000,5.9,CLASS-2
Lincoln,2012,2,3715,2.35,Daniel Day-Lewis,27,0,16,Sally Field,0,0,11,David Strathairn,136,0,3,Steven Spielberg,54,2,167,Tony Kushner,3,0,24,John Williams,222,5,184,Janusz Kaminski,38,2,36,65000000,7.3,CLASS-3
Les MisÃƒÂ©rables,2012,2,3715,1.85,Hugh Jackman,36,1,17,Russell Crowe,42,1,14,Anne Hathaway,38,1,68,Tom Hooper,15,1,35,William Nicholson,16,0,2,Danny Cohen,0,0,1,Chris Dickens,12,1,8,61000000,7.6,CLASS-4
The Dictator,2012,4,3715,2.35,Sacha Baron Cohen,27,0,4,Sayed Badreya,48,0,0,Rocky Citron,38,0,0,Larry Charles,10,0,3,Sacha Baron Cohen,11,0,25,Erran Baron Cohen,2,0,3,Lawrence Sher,33,0,2,65000000,6.4,CLASS-2
This Means War,2012,2,3715,2.35,Reese Witherspoon,0,0,14,Chris Pine,22,0,2,Tom Hardy,42,0,0,McG,31,0,2,Timothy Dowling,5,0,0,Christophe Beck,20,0,5,Russell Carpenter,39,1,7,65000000,6.3,CLASS-2
Resident Evil: Retribution,2012,4,3012,2.35,Milla Jovovich,0,0,3,Sienna Guillory,0,0,0,Michelle Rodriguez,22,0,11,Paul W.S. Anderson,12,0,2,Paul W.S. Anderson,10,0,2,tomandandy,13,0,0,Glen MacPherson,55,0,1,65000000,5.4,CLASS-2
Jack Reacher,2012,2,3715,2.35,Tom Cruise,35,0,44,Rosamund Pike,0,1,48,Richard Jenkins,36,0,19,Christopher McQuarrie,1,1,9,Lee Child,2,0,0,Joe Kraemer,8,0,3,Caleb Deschanel,28,0,11,60000000,7,CLASS-3
ParaNorman,2012,1,3715,2.35,Kodi Smit-McPhee,13,0,14,Tucker Albrizzi,17,0,3,Anna Kendrick,76,0,5,Chris Butler,0,0,1,Chris Butler,0,0,1,Jon Brion,6,0,6,Tristan Oliver,12,0,0,60000000,7,CLASS-3
Pirates of the Caribbean: On Stranger Tides,2011,2,4155,2.35,Johnny Depp,59,0,69,PenÃ©lope Cruz,0,0,3,Geoffrey Rush,54,0,6,Rob Marshall,6,0,17,Ted Elliott,36,0,3,Hans Zimmer,95,1,121,Dariusz Wolski,50,0,1,250000000,6.6,CLASS-3
Cars 2,2011,0,4115,2.35,Larry the Cable Guy,15,0,6,Owen Wilson,40,0,4,Michael Caine,38,0,3,John Lasseter,19,1,36,John Lasseter,15,1,36,Michael Giacchino,23,1,80,Sharon Calahan,4,0,0,200000000,6.1,CLASS-2
Green Lantern,2011,2,3816,2.35,Ryan Reynolds,45,0,14,Blake Lively,0,0,3,Peter Sarsgaard,19,1,71,Martin Campbell,27,0,3,Greg Berlanti,2,0,2,James Newton Howard,92,0,68,Dion Beebe,31,1,18,200000000,5.5,CLASS-2
Transformers: Dark of the Moon,2011,2,4088,2.35,Shia LaBeouf,40,0,3,Rosie Huntington-Whiteley,0,0,2,Josh Duhamel,93,0,1,Michael Bay,51,0,9,Ehren Kruger,13,0,1,Steve Jablonsky,31,0,8,Amir Mokri,21,0,0,195000000,6.2,CLASS-2
Hugo,2011,1,3715,1.85,Ben Kingsley,95,0,23,Sacha Baron Cohen,26,0,23,Asa Butterfield,166,0,12,Martin Scorsese,51,1,154,John Logan,13,0,7,Howard Shore,68,3,87,Robert Richardson,38,3,19,170000000,7.5,CLASS-3
X-Men: First Class,2011,2,3641,2.35,James McAvoy,31,1,94,Laurence Belcher,7,0,58,Michael Fassbender,63,0,2,Matthew Vaughn,3,0,5,Ashley Miller,3,0,0,Henry Jackman,14,0,11,John Mathieson,41,0,8,160000000,7.7,CLASS-4
Thor,2011,2,3955,2.35,Chris Hemsworth,10,0,8,Natalie Portman,0,1,73,Tom Hiddleston,115,1,52,Kenneth Branagh,14,0,33,Ashley Miller,3,0,0,Patrick Doyle,22,0,12,Haris Zambarloukos,24,0,1,150000000,8,CLASS-4
Kung Fu Panda 2,2011,1,3925,2.35,Jack Black,104,1,47,Angelina Jolie,0,1,37,Dustin Hoffman,213,0,0,Jennifer Yuh Nelson,1,0,4,Jonathan Aibel,10,0,2,John Powell,15,0,41,Damon O'Beirne,0,0,0,150000000,7.2,CLASS-3
Mars Needs Moms,2011,1,3715,2.35,Seth Green,117,0,1,Dan Fogler,20,0,4,Joan Cusack,41,0,1,Simon Wells,5,0,0,Simon Wells,1,0,0,John Powell,15,0,41,Robert Presley,3,0,0,150000000,5.4,CLASS-2
Mission: Impossible - Ghost Protocol,2011,2,3715,2.35,Tom Cruise,34,0,46,Paula Patton,0,0,27,Simon Pegg,71,0,6,Brad Bird,8,2,32,Bruce Geller,19,0,3,Michael Giacchino,23,1,80,Robert Elswit,71,1,16,145000000,7.4,CLASS-3
Captain America: The First Avenger,2011,3,3715,2.35,Chris Evans,28,0,5,Hayley Atwell,0,0,2,Sebastian Stan,34,0,12,Joe Johnston,12,1,1,Christopher Markus,5,0,5,Alan Silvestri,69,0,43,Shelly Johnson,57,0,0,140000000,6.9,CLASS-3
Rango,2016,1,3917,2.35,Johnny Depp,59,0,66,Isla Fisher,0,0,6,Abigail Breslin,206,1,18,Gore Verbinski,20,1,8,John Logan,13,0,7,Hans Zimmer,95,1,121,Roger Deakins,71,2,168,135000000,8.8,CLASS-4
Puss in Boots,2011,1,3952,2.35,Antonio Banderas,76,0,14,Salma Hayek,0,0,3,Zach Galifianakis,93,0,1,Chris Miller,2,1,22,Tom Wheeler,4,0,0,Henry Jackman,14,0,11,Gil Zimmerman,1,0,0,130000000,6.6,CLASS-3
The Adventures of Tintin,2011,1,3715,2.35,Jamie Bell,15,0,7,Andy Serkis,74,0,2,Daniel Craig,68,0,0,Steven Spielberg,52,3,148,HergÃ©,12,0,0,John Williams,209,5,184,Janusz Kaminski,36,2,36,135000000,7.3,CLASS-3
Fast Five,2011,2,3644,2.35,Vin Diesel,24,0,5,Paul Walker,35,0,6,Jordana Brewster,42,0,14,Justin Lin,10,0,3,Chris Morgan,5,0,0,Brian Tyler,51,0,16,Stephen F. Windon,33,0,3,125000000,7.3,CLASS-3
Sherlock Holmes: A Game of Shadows,2011,2,3703,2.35,Robert Downey Jr.,77,0,34,Jude Law,40,0,7,Noomi Rapace,8,0,0,Guy Ritchie,16,0,8,Michele Mulroney,2,0,0,Hans Zimmer,95,1,121,Philippe Rousselot,65,1,11,125000000,7.5,CLASS-3
